region,date,date_id,hour,month,weekday,weekend_flag,trip_count,avg_duration_min,temperature_c,apparent_temperature,rel_humidity,wind_speed_ms,wind_gust_ms,cloud_cover,precip_mm,rain_mm,snow_mm,missing_weather_flag
NYC_South,2023-01-01,0,0,1,6,1,277,18.683,10.85,9.789,99.337,8.891,24.48,100.0,1.1,1.1,0.0,0
NYC_South,2023-01-01,0,1,1,6,1,493,16.627,10.6,8.416,99.006,15.978,24.48,43.0,0.2,0.2,0.0,0
NYC_South,2023-01-01,0,2,1,6,1,429,13.449,10.25,7.479,98.672,19.212,29.52,7.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,3,1,6,1,263,18.012,9.75,6.814,97.678,19.094,30.24,0.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,4,1,6,1,115,19.818,9.2,6.321,96.357,17.317,29.88,34.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,5,1,6,1,50,19.134,8.75,5.682,94.722,17.373,28.8,59.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,6,1,6,1,79,20.549,8.0,5.128,95.015,14.843,27.36,14.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,7,1,6,1,88,12.371,7.9,5.098,97.311,14.778,24.84,56.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,8,1,6,1,159,12.407,7.95,5.022,97.978,15.893,23.76,51.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,9,1,6,1,318,12.546,9.15,5.753,93.779,20.063,31.68,31.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,10,1,6,1,511,16.544,10.6,7.291,80.315,18.004,32.76,77.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,11,1,6,1,737,16.812,11.2,7.627,73.563,18.671,32.76,55.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,12,1,6,1,974,16.526,11.55,7.932,68.494,17.877,33.84,34.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,13,1,6,1,1170,19.666,12.05,8.079,60.762,18.455,32.76,6.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,14,1,6,1,1334,19.578,12.15,8.202,55.884,16.782,32.76,1.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,15,1,6,1,1417,20.071,11.95,8.491,55.049,12.905,29.52,5.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,16,1,6,1,1277,19.656,10.45,8.109,64.779,6.44,21.96,14.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,17,1,6,1,857,17.398,6.95,3.987,77.032,9.504,12.24,12.0,0.0,0.0,0.0,0
NYC_South,2023-01-01,0,18,1,6,1,722,16.082,5.65,2.543,82.19,10.041,11.16,0.0,0.0,0.0,0.0,0
