region,date,trip_count,avg_distance_mi,avg_duration_min,temperature_c_mean,rain_sum,wind_speed_ms_max,month,weekday,weekend_flag
DTLA,2024-09-23,967,0.936585,24.226856,20.170391,0.000000,17.673029,9,0,0
DTLA,2024-09-24,1192,0.817577,18.557520,19.250917,0.000000,20.696087,9,1,0
DTLA,2024-09-25,1011,0.833654,19.494309,18.682167,0.000000,17.288435,9,2,0
DTLA,2024-09-26,970,0.880774,19.594919,18.053000,0.000000,17.179394,9,3,0
DTLA,2024-09-27,1011,0.762996,18.816559,17.921750,0.000000,15.697197,9,4,0
DTLA,2024-09-28,831,0.811158,20.836292,18.424739,0.000000,19.093580,9,5,1
DTLA,2024-09-29,832,0.967591,22.259106,19.086334,0.000000,18.102308,9,6,1
DTLA,2024-09-30,849,0.932556,17.046246,20.723833,0.000000,19.797543,9,0,0
DTLA,2024-10-01,934,0.721824,17.740718,21.136333,0.000000,15.833861,10,1,0
DTLA,2024-10-02,1132,0.754741,22.355772,22.644666,0.000000,14.037692,10,2,0
DTLA,2024-10-03,944,0.947972,17.124224,23.111333,0.000000,14.275713,10,3,0
DTLA,2024-10-04,889,0.753424,18.478882,21.240500,0.000000,16.029099,10,4,0
DTLA,2024-10-05,852,0.909190,20.950225,20.538417,0.000000,14.957339,10,5,1
DTLA,2024-10-06,720,0.758676,23.448194,20.900917,0.000000,16.704155,10,6,1
DTLA,2024-10-07,895,0.859930,24.232722,21.726913,0.000000,15.580141,10,0,0
DTLA,2024-10-08,938,0.801248,18.810104,20.332167,0.000000,15.307410,10,1,0
DTLA,2024-10-09,868,0.827763,18.437702,19.771182,0.000000,17.728857,10,2,0
DTLA,2024-10-10,904,0.880704,19.443659,20.131261,0.000000,15.530151,10,3,0
DTLA,2024-10-11,914,0.926582,18.345361,21.409250,0.000000,15.210799,10,4,0
DTLA,2024-10-12,904,0.841601,21.795360,19.537783,0.000000,16.712881,10,5,1
DTLA,2024-10-13,2002,1.032437,49.875035,17.942583,0.000000,19.313757,10,6,1
DTLA,2024-10-14,823,0.934432,17.435866,18.694305,0.000000,15.035119,10,0,0
DTLA,2024-10-15,878,0.778189,18.788336,18.094305,0.000000,15.129640,10,1,0
DTLA,2024-10-16,853,0.846546,20.996790,18.032167,0.000000,18.089775,10,2,0
DTLA,2024-10-17,851,0.886701,21.137727,18.136333,1.000000,16.045261,10,3,0
DTLA,2024-10-18,912,0.880706,22.952551,19.198834,0.000000,11.701385,10,4,0
DTLA,2024-10-19,750,0.900777,24.626573,18.678000,0.000000,17.595861,10,5,1
DTLA,2024-10-20,703,0.918585,19.219706,20.631261,0.000000,20.808498,10,6,1
DTLA,2024-10-21,885,0.800617,30.895263,22.218909,0.000000,20.652988,10,0,0
DTLA,2024-10-22,949,0.815675,16.915224,23.098652,0.000000,17.873556,10,1,0
DTLA,2024-10-23,889,0.888426,14.050357,23.040500,0.000000,17.072504,10,2,0
