region,date,date_id,hour,month,weekday,weekend_flag,trip_count,avg_distance_mi,avg_duration_min,temperature_c,apparent_temperature,rel_humidity,wind_speed_ms,wind_gust_ms,cloud_cover,precip_mm,rain_mm,missing_weather_flag
DTLA,2024-09-23,0,0,9,0,0,9,0.622,18.222,17.103,18.361,91.769,4.843,7.92,0.0,0.0,0.0,0
DTLA,2024-09-23,0,1,9,0,0,3,0.756,38.333,16.403,17.898,95.938,3.22,7.2,0.0,0.0,0.0,0
DTLA,2024-09-23,0,3,9,0,0,4,3.368,155.5,15.353,17.067,99.68,0.509,4.32,100.0,0.0,0.0,0
DTLA,2024-09-23,0,4,9,0,0,1,0.783,9.0,14.953,16.502,100.0,0.72,4.32,100.0,0.0,0.0,0
DTLA,2024-09-23,0,5,9,0,0,7,0.402,5.0,14.803,16.094,100.0,2.099,6.12,100.0,0.0,0.0,0
DTLA,2024-09-23,0,6,9,0,0,11,1.032,14.273,14.903,15.809,99.038,4.61,10.8,100.0,0.0,0.0,0
DTLA,2024-09-23,0,7,9,0,0,24,0.918,11.458,14.753,15.554,98.4,4.694,10.8,100.0,0.0,0.0,0
DTLA,2024-09-23,0,8,9,0,0,27,0.995,14.444,14.953,15.823,97.455,4.35,11.88,100.0,0.0,0.0,0
DTLA,2024-09-23,0,9,9,0,0,51,0.716,18.137,15.303,16.79,99.36,1.8,11.88,100.0,0.0,0.0,0
DTLA,2024-09-23,0,10,9,0,0,44,0.642,20.341,18.503,20.212,82.164,0.805,11.16,38.0,0.0,0.0,0
DTLA,2024-09-23,0,11,9,0,0,58,0.632,20.052,22.903,24.708,61.268,1.484,11.88,0.0,0.0,0.0,0
DTLA,2024-09-23,0,12,9,0,0,78,0.659,15.333,27.003,29.117,46.756,4.68,16.2,0.0,0.0,0.0,0
DTLA,2024-09-23,0,13,9,0,0,65,0.726,23.631,29.903,31.501,40.535,10.704,23.4,0.0,0.0,0.0,0
DTLA,2024-09-23,0,14,9,0,0,77,0.792,21.299,30.403,31.287,40.026,14.982,29.52,1.0,0.0,0.0,0
DTLA,2024-09-23,0,15,9,0,0,60,0.93,18.533,29.753,29.695,40.105,16.677,31.32,3.0,0.0,0.0,0
DTLA,2024-09-23,0,16,9,0,0,71,0.788,24.141,27.953,27.185,45.674,17.673,32.4,9.0,0.0,0.0,0
DTLA,2024-09-23,0,17,9,0,0,86,0.777,14.151,25.703,25.59,54.529,14.481,32.4,3.0,0.0,0.0,0
DTLA,2024-09-23,0,18,9,0,0,91,1.215,23.297,22.753,22.852,68.485,15.282,25.92,0.0,0.0,0.0,0
DTLA,2024-09-23,0,19,9,0,0,73,1.134,22.288,19.453,20.216,83.07,10.315,25.56,1.0,0.0,0.0,0
DTLA,2024-09-23,0,20,9,0,0,52,0.66,27.5,18.253,19.409,88.122,6.925,17.64,2.0,0.0,0.0,0
DTLA,2024-09-23,0,21,9,0,0,32,0.99,15.844,17.553,18.332,92.089,9.511,15.48,4.0,0.0,0.0,0
DTLA,2024-09-23,0,22,9,0,0,28,0.853,16.107,17.303,18.222,92.369,7.993,16.2,3.0,0.0,0.0,0
DTLA,2024-09-23,0,23,9,0,0,15,1.152,10.333,17.953,19.146,88.66,6.109,14.04,4.0,0.0,0.0,0
DTLA,2024-09-24,1,0,9,1,0,14,1.487,20.214,17.453,18.411,91.79,7.863,11.88,21.0,0.0,0.0,0
DTLA,2024-09-24,1,1,9,1,0,11,0.743,22.818,16.453,17.553,98.421,7.173,13.68,97.0,0.0,0.0,0
DTLA,2024-09-24,1,2,9,1,0,6,0.605,24.167,16.203,17.71,99.364,4.105,11.88,100.0,0.0,0.0,0
DTLA,2024-09-24,1,3,9,1,0,2,1.734,26.0,16.003,17.645,100.0,2.902,9.0,100.0,0.0,0.0,0
DTLA,2024-09-24,1,4,9,1,0,6,1.416,15.5,15.953,17.606,99.681,2.546,7.56,100.0,0.0,0.0,0
DTLA,2024-09-24,1,5,9,1,0,12,0.647,8.0,15.753,17.13,99.681,3.894,9.0,100.0,0.0,0.0,0
DTLA,2024-09-24,1,6,9,1,0,14,0.843,10.929,15.603,16.634,99.68,5.86,11.52,100.0,0.0,0.0,0
DTLA,2024-09-24,1,7,9,1,0,31,0.85,16.871,15.403,16.356,100.0,5.992,12.6,100.0,0.0,0.0,0
DTLA,2024-09-24,1,8,9,1,0,52,0.88,20.019,15.453,16.126,98.725,7.517,15.48,100.0,0.0,0.0,0
DTLA,2024-09-24,1,9,9,1,0,50,0.919,21.28,16.503,17.7,93.216,4.32,15.48,97.0,0.0,0.0,0
DTLA,2024-09-24,1,10,9,1,0,64,0.598,15.734,18.753,19.955,81.67,4.68,13.68,45.0,0.0,0.0,0
DTLA,2024-09-24,1,11,9,1,0,68,0.514,23.353,21.903,23.211,68.535,6.369,17.64,25.0,0.0,0.0,0
