region,date,date_id,hour,month,weekday,weekend_flag,trip_count,avg_distance_mi,avg_duration_min,temperature_c,apparent_temperature,rel_humidity,wind_speed_ms,wind_gust_ms,cloud_cover,precip_mm,rain_mm,missing_weather_flag
Westside,2025-04-01,0,1,4,1,0,0,,,12.668,10.529,78.725,13.01,27.36,100.0,0.0,0.0,0
Westside,2025-04-01,0,2,4,1,0,0,,,12.218,10.378,83.858,11.898,26.64,80.0,0.0,0.0,0
Westside,2025-04-01,0,3,4,1,0,0,,,12.018,9.994,80.512,11.672,24.84,19.0,0.0,0.0,0
Westside,2025-04-01,0,4,4,1,0,1,0.876,6.0,11.818,9.508,75.455,11.612,23.4,88.0,0.0,0.0,0
Westside,2025-04-01,0,5,4,1,0,1,0.756,5.0,11.118,9.139,79.3,9.424,22.68,63.0,0.0,0.0,0
Westside,2025-04-01,0,6,4,1,0,6,1.016,20.5,10.118,9.481,88.889,1.44,3.24,73.0,0.0,0.0,0
Westside,2025-04-01,0,7,4,1,0,6,1.02,18.833,9.568,8.675,90.06,2.577,4.32,82.0,0.0,0.0,0
Westside,2025-04-01,0,8,4,1,0,12,1.017,14.917,11.268,10.304,83.182,3.948,10.44,99.0,0.0,0.0,0
Westside,2025-04-01,0,9,4,1,0,24,1.008,21.125,13.218,11.88,72.436,6.248,18.0,51.0,0.0,0.0,0
Westside,2025-04-01,0,10,4,1,0,34,0.909,18.941,15.218,12.856,52.165,8.538,23.76,7.0,0.0,0.0,0
Westside,2025-04-01,0,11,4,1,0,39,1.596,31.256,16.218,14.513,49.96,10.08,27.0,80.0,0.0,0.0,0
Westside,2025-04-01,0,12,4,1,0,35,1.033,24.543,16.319,13.947,53.551,17.372,43.2,92.0,0.1,0.1,0
Westside,2025-04-01,0,13,4,1,0,36,1.123,21.222,16.968,14.204,49.992,22.621,55.08,100.0,0.0,0.0,0
Westside,2025-04-01,0,14,4,1,0,33,1.126,27.121,16.218,12.276,53.709,25.985,61.92,90.0,0.0,0.0,0
Westside,2025-04-01,0,15,4,1,0,36,0.955,23.028,16.169,12.447,56.91,27.08,63.36,97.0,0.0,0.0,0
Westside,2025-04-01,0,16,4,1,0,22,1.412,18.318,15.218,10.803,61.307,27.332,65.88,99.0,0.0,0.0,0
Westside,2025-04-01,0,17,4,1,0,35,1.314,20.771,14.618,10.514,63.721,24.251,63.36,100.0,0.0,0.0,0
Westside,2025-04-01,0,18,4,1,0,32,1.189,20.719,14.168,11.047,67.868,18.382,50.4,100.0,0.0,0.0,0
Westside,2025-04-01,0,19,4,1,0,22,1.053,25.545,13.368,10.532,72.463,16.787,42.12,86.0,0.0,0.0,0
Westside,2025-04-01,0,20,4,1,0,20,1.788,26.05,12.818,10.087,73.601,15.531,36.36,100.0,0.0,0.0,0
Westside,2025-04-01,0,21,4,1,0,5,1.277,21.0,12.518,10.169,71.815,11.792,31.68,100.0,0.0,0.0,0
Westside,2025-04-01,0,22,4,1,0,3,0.102,35.333,12.118,9.328,70.522,13.738,27.72,99.0,0.0,0.0,0
Westside,2025-04-01,0,23,4,1,0,6,1.066,8.833,11.568,9.044,70.901,11.19,27.72,99.0,0.0,0.0,0
Westside,2025-04-02,1,0,4,2,0,3,0.596,13.0,10.918,8.686,73.513,9.029,21.6,0.0,0.0,0.0,0
Westside,2025-04-02,1,1,4,2,0,0,,,10.318,8.355,75.201,6.792,18.0,0.0,0.0,0.0,0
Westside,2025-04-02,1,2,4,2,0,0,,,9.918,7.713,75.655,7.993,15.12,0.0,0.0,0.0,0
Westside,2025-04-02,1,3,4,2,0,1,0.756,5.0,9.418,7.095,77.159,8.496,16.92,0.0,0.0,0.0,0
Westside,2025-04-02,1,4,4,2,0,0,,,9.018,6.636,77.903,8.529,17.28,0.0,0.0,0.0,0
Westside,2025-04-02,1,5,4,2,0,1,1.422,12.0,8.718,5.954,75.452,10.062,19.8,8.0,0.0,0.0,0
Westside,2025-04-02,1,6,4,2,0,5,1.357,19.4,8.568,6.887,81.429,4.025,19.8,4.0,0.0,0.0,0
Westside,2025-04-02,1,7,4,2,0,2,2.282,35.5,8.068,6.444,84.529,3.706,8.28,7.0,0.0,0.0,0
Westside,2025-04-02,1,8,4,2,0,19,0.661,11.263,9.768,7.97,76.949,5.352,12.24,5.0,0.0,0.0,0
Westside,2025-04-02,1,9,4,2,0,18,1.308,69.056,11.718,9.953,61.537,3.144,14.04,3.0,0.0,0.0,0
Westside,2025-04-02,1,10,4,2,0,27,1.284,17.0,13.268,11.2,51.639,3.784,16.56,30.0,0.0,0.0,0
Westside,2025-04-02,1,11,4,2,0,28,0.902,28.929,14.468,12.282,45.143,7.077,23.4,1.0,0.0,0.0,0
Westside,2025-04-02,1,12,4,2,0,29,1.214,27.241,15.718,14.255,43.006,11.043,30.6,1.0,0.0,0.0,0
Westside,2025-04-02,1,13,4,2,0,37,1.109,31.216,15.768,14.043,51.594,17.146,45.72,9.0,0.0,0.0,0
Westside,2025-04-02,1,14,4,2,0,36,1.195,29.333,16.268,13.848,49.801,20.894,52.92,14.0,0.1,0.1,0
Westside,2025-04-02,1,15,4,2,0,27,1.077,37.815,16.369,12.574,44.423,24.483,60.12,34.0,0.0,0.0,0
Westside,2025-04-02,1,16,4,2,0,33,0.851,19.515,15.968,12.014,53.828,24.536,61.56,35.0,0.0,0.0,0
Westside,2025-04-02,1,17,4,2,0,33,1.212,16.97,15.568,11.293,57.345,24.327,56.88,23.0,0.0,0.0,0
Westside,2025-04-02,1,18,4,2,0,29,1.019,19.69,14.718,11.856,65.277,16.517,41.76,21.0,0.0,0.0,0
Westside,2025-04-02,1,19,4,2,0,20,0.754,26.25,13.568,11.219,72.012,13.624,38.52,17.0,0.0,0.0,0
Westside,2025-04-02,1,20,4,2,0,18,1.05,18.722,12.818,10.74,73.352,10.967,29.52,23.0,0.0,0.0,0
Westside,2025-04-02,1,21,4,2,0,9,1.312,13.0,12.268,11.486,79.467,3.245,23.04,0.0,0.0,0.0,0
Westside,2025-04-02,1,22,4,2,0,8,1.34,13.625,11.818,11.419,80.757,0.255,6.84,0.0,0.0,0.0,0
Westside,2025-04-02,1,23,4,2,0,7,1.083,8.714,11.318,10.773,81.792,0.72,1.8,1.0,0.0,0.0,0
Westside,2025-04-03,2,0,4,3,0,7,0.597,14.429,11.468,8.802,68.241,11.157,20.16,5.0,0.0,0.0,0
Westside,2025-04-03,2,1,4,3,0,0,,,10.568,7.626,68.769,11.929,25.92,4.0,0.0,0.0,0
Westside,2025-04-03,2,2,4,3,0,1,1.605,24.0,9.918,7.143,66.972,9.376,23.4,10.0,0.0,0.0,0
Westside,2025-04-03,2,3,4,3,0,0,,,9.618,7.059,69.055,8.102,18.0,1.0,0.0,0.0,0
Westside,2025-04-03,2,4,4,3,0,0,,,9.168,6.898,73.195,6.679,15.84,0.0,0.0,0.0,0
Westside,2025-04-03,2,5,4,3,0,3,1.853,12.333,8.868,6.658,75.741,6.552,13.32,1.0,0.0,0.0,0
Westside,2025-04-03,2,6,4,3,0,6,1.659,15.5,9.468,7.297,76.901,7.459,16.2,37.0,0.0,0.0,0
Westside,2025-04-03,2,7,4,3,0,10,1.376,19.3,9.268,7.179,80.128,7.502,15.12,100.0,0.0,0.0,0
Westside,2025-04-03,2,8,4,3,0,21,1.083,16.048,10.618,8.629,75.253,7.441,17.28,69.0,0.0,0.0,0
Westside,2025-04-03,2,9,4,3,0,23,0.767,22.0,12.368,10.501,68.898,7.245,20.88,21.0,0.0,0.0,0
Westside,2025-04-03,2,10,4,3,0,33,0.721,33.061,14.118,12.523,61.256,5.297,20.88,19.0,0.0,0.0,0
Westside,2025-04-03,2,11,4,3,0,19,1.043,30.947,15.718,15.506,53.948,2.347,19.08,5.0,0.0,0.0,0
Westside,2025-04-03,2,12,4,3,0,47,1.219,25.043,16.919,17.059,49.125,5.318,23.04,2.0,0.0,0.0,0
Westside,2025-04-03,2,13,4,3,0,44,1.029,44.432,17.319,17.094,48.395,9.9,32.04,6.0,0.0,0.0,0
Westside,2025-04-03,2,14,4,3,0,38,0.978,31.868,16.569,15.816,56.241,14.652,41.4,50.0,0.2,0.2,0
Westside,2025-04-03,2,15,4,3,0,33,1.374,24.364,14.718,12.536,64.836,16.268,43.2,44.0,0.0,0.0,0
Westside,2025-04-03,2,16,4,3,0,33,1.064,27.788,14.118,11.214,66.49,17.958,46.44,28.0,0.0,0.0,0
Westside,2025-04-03,2,17,4,3,0,41,1.031,64.512,14.418,12.03,68.381,13.986,44.64,41.0,0.0,0.0,0
Westside,2025-04-03,2,18,4,3,0,36,1.945,29.556,14.518,13.456,69.098,5.343,16.2,53.0,0.1,0.1,0
Westside,2025-04-03,2,19,4,3,0,23,1.571,42.696,13.418,12.454,80.704,7.057,17.64,6.0,0.0,0.0,0
Westside,2025-04-03,2,20,4,3,0,18,0.81,40.722,12.018,11.824,90.844,2.577,15.84,1.0,0.0,0.0,0
Westside,2025-04-03,2,21,4,3,0,14,0.589,10.786,11.818,11.53,90.227,2.621,6.12,2.0,0.0,0.0,0
Westside,2025-04-03,2,22,4,3,0,7,1.286,12.0,11.768,11.008,88.136,5.072,11.16,1.0,0.0,0.0,0
Westside,2025-04-03,2,23,4,3,0,17,1.075,38.059,11.318,11.061,87.506,0.569,9.72,0.0,0.0,0.0,0
