region,date,hour,month,weekday,weekend_flag,temperature_c,apparent_temperature,rel_humidity,wind_speed_ms,wind_gust_ms,cloud_cover,precipitation,rain
DTLA,2024-07-01,1,7,0,0,18.250000,19.113842,84.537834,7.127636,10.799999,0.000000,0.000000,0.000000
DTLA,2024-07-01,2,7,0,0,17.600000,18.527664,85.835251,5.623380,10.440001,2.000000,0.000000,0.000000
DTLA,2024-07-01,3,7,0,0,17.049999,18.079443,89.443298,5.191994,8.280000,3.000000,0.000000,0.000000
DTLA,2024-07-01,4,7,0,0,16.600000,17.693470,92.923012,5.154416,7.559999,6.000000,0.000000,0.000000
DTLA,2024-07-01,5,7,0,0,16.150000,17.417824,95.623169,3.960000,7.200000,6.000000,0.000000,0.000000
DTLA,2024-07-01,6,7,0,0,16.549999,17.739424,97.485558,6.409617,12.959999,57.000000,0.000000,0.000000
DTLA,2024-07-01,7,7,0,0,16.650000,18.165716,96.252136,3.893995,11.520000,99.000000,0.000000,0.000000
DTLA,2024-07-01,8,7,0,0,18.549999,20.148544,86.480293,3.877318,12.240000,31.000000,0.000000,0.000000
DTLA,2024-07-01,9,7,0,0,21.200001,22.419317,72.222359,5.771239,16.559999,12.000000,0.000000,0.000000
DTLA,2024-07-01,10,7,0,0,23.950001,25.125410,58.250919,7.594207,19.799999,0.000000,0.000000,0.000000
DTLA,2024-07-01,11,7,0,0,27.100000,28.782185,46.332169,9.028754,22.680000,0.000000,0.000000,0.000000
DTLA,2024-07-01,12,7,0,0,29.750000,31.604237,39.334824,11.609651,25.919998,0.000000,0.000000,0.000000
DTLA,2024-07-01,13,7,0,0,31.299999,32.822613,35.418098,14.587776,30.239998,0.000000,0.000000,0.000000
DTLA,2024-07-01,14,7,0,0,31.650000,32.635895,34.496300,17.238699,33.480000,1.000000,0.000000,0.000000
DTLA,2024-07-01,15,7,0,0,31.100000,31.548180,35.134064,18.289274,34.919998,2.000000,0.000000,0.000000
DTLA,2024-07-01,16,7,0,0,30.500000,29.998558,33.513306,17.935081,34.919998,1.000000,0.000000,0.000000
DTLA,2024-07-01,17,7,0,0,29.400000,27.919388,33.207848,16.595179,33.839996,1.000000,0.000000,0.000000
DTLA,2024-07-01,18,7,0,0,26.549999,24.882761,42.433483,17.339897,32.039997,2.000000,0.000000,0.000000
DTLA,2024-07-01,19,7,0,0,24.299999,23.002327,47.404625,14.021525,31.319998,1.000000,0.000000,0.000000
DTLA,2024-07-01,20,7,0,0,21.600000,21.493774,61.765003,9.511088,24.840000,10.000000,0.000000,0.000000
DTLA,2024-07-01,21,7,0,0,19.900000,20.662859,74.580681,6.877790,17.639999,1.000000,0.000000,0.000000
DTLA,2024-07-01,22,7,0,0,19.350000,20.236536,77.668335,6.297428,13.320000,1.000000,0.000000,0.000000
DTLA,2024-07-01,23,7,0,0,19.000000,19.743605,79.126213,7.145796,11.879999,0.000000,0.000000,0.000000
DTLA,2024-07-02,0,7,1,0,18.450001,19.182104,83.217506,7.895416,12.959999,0.000000,0.000000,0.000000
DTLA,2024-07-02,1,7,1,0,17.700001,18.788763,88.639481,6.130579,12.240000,1.000000,0.000000,0.000000
DTLA,2024-07-02,2,7,1,0,16.950001,18.291004,94.437439,5.091168,9.720000,5.000000,0.000000,0.000000
DTLA,2024-07-02,3,7,1,0,16.400000,18.100950,98.420074,2.902413,7.559999,76.000000,0.000000,0.000000
DTLA,2024-07-02,4,7,1,0,16.000000,17.757536,100.000000,2.099143,5.040000,98.000000,0.000000,0.000000
DTLA,2024-07-02,5,7,1,0,15.800000,17.678574,100.000000,0.720000,5.040000,100.000000,0.000000,0.000000
DTLA,2024-07-02,6,7,1,0,16.150000,17.387285,97.790070,5.116561,10.440001,100.000000,0.000000,0.000000
DTLA,2024-07-02,7,7,1,0,16.299999,17.579033,96.859756,4.829907,11.520000,100.000000,0.000000,0.000000
DTLA,2024-07-02,8,7,1,0,16.900000,18.228899,92.938797,4.349896,12.599999,100.000000,0.000000,0.000000
DTLA,2024-07-02,9,7,1,0,18.600000,20.025562,83.235130,3.545589,12.959999,100.000000,0.000000,0.000000
DTLA,2024-07-02,10,7,1,0,21.600000,22.868397,68.256096,4.334974,15.480000,70.000000,0.000000,0.000000
DTLA,2024-07-02,11,7,1,0,24.900000,26.780848,52.945354,5.804825,18.359999,10.000000,0.000000,0.000000
DTLA,2024-07-02,12,7,1,0,28.350000,30.784050,42.653755,7.862518,21.240000,0.000000,0.000000,0.000000
DTLA,2024-07-02,13,7,1,0,30.700001,32.773384,37.854527,12.594856,27.000000,0.000000,0.000000,0.000000
DTLA,2024-07-02,14,7,1,0,31.049999,32.305504,38.442307,18.335276,34.560001,0.000000,0.000000,0.000000
DTLA,2024-07-02,15,7,1,0,30.200001,30.339878,37.838135,20.808498,38.160000,2.000000,0.000000,0.000000
DTLA,2024-07-02,16,7,1,0,29.200001,28.457317,37.929081,20.808498,38.519997,1.000000,0.000000,0.000000
DTLA,2024-07-02,17,7,1,0,27.650000,26.516901,42.598999,19.107151,37.799999,0.000000,0.000000,0.000000
DTLA,2024-07-02,18,7,1,0,27.549999,26.559505,43.549458,15.790833,29.160000,0.000000,0.000000,0.000000
DTLA,2024-07-02,19,7,1,0,24.799999,24.273525,54.476875,15.038350,28.799999,3.000000,0.000000,0.000000
DTLA,2024-07-02,20,7,1,0,21.100000,21.274410,71.744392,12.387348,26.639999,6.000000,0.000000,0.000000
DTLA,2024-07-02,21,7,1,0,19.400000,20.422623,80.715942,7.127636,21.599998,14.000000,0.000000,0.000000
DTLA,2024-07-02,22,7,1,0,18.750000,20.142918,83.786316,4.452954,13.679999,8.000000,0.000000,0.000000
DTLA,2024-07-02,23,7,1,0,18.350000,19.814045,86.185478,4.104631,9.720000,3.000000,0.000000,0.000000
DTLA,2024-07-03,0,7,2,0,18.000000,19.743464,88.100143,2.189795,9.000000,1.000000,0.000000,0.000000
DTLA,2024-07-03,1,7,2,0,17.600000,19.222878,90.059029,2.880000,5.760000,1.000000,0.000000,0.000000
DTLA,2024-07-03,2,7,2,0,16.950001,18.515232,94.136574,3.415260,6.120000,7.000000,0.000000,0.000000
DTLA,2024-07-03,3,7,2,0,16.549999,18.330730,96.557076,1.938659,6.120000,23.000000,0.000000,0.000000
DTLA,2024-07-03,4,7,2,0,16.100000,18.026108,99.047188,0.804985,4.320000,28.000000,0.000000,0.000000
DTLA,2024-07-03,5,7,2,0,15.750000,17.596298,100.000000,0.804985,3.240000,100.000000,0.000000,0.000000
DTLA,2024-07-03,6,7,2,0,15.700000,17.436174,99.044266,1.018234,8.640000,100.000000,0.000000,0.000000
DTLA,2024-07-03,7,7,2,0,15.950000,17.444221,97.786682,2.811690,9.000000,100.000000,0.000000,0.000000
DTLA,2024-07-03,8,7,2,0,18.350000,19.378862,82.408981,5.191994,13.320000,25.000000,0.000000,0.000000
DTLA,2024-07-03,9,7,2,0,21.500000,22.110212,67.149773,7.653705,18.359999,7.000000,0.000000,0.000000
DTLA,2024-07-03,10,7,2,0,24.600000,25.467251,56.566700,9.693296,22.319998,1.000000,0.000000,0.000000
DTLA,2024-07-03,11,7,2,0,26.950001,28.591595,49.686192,10.990322,24.840000,1.000000,0.000000,0.000000
DTLA,2024-07-03,12,7,2,0,28.950001,30.571465,43.094685,13.830749,28.799999,3.000000,0.000000,0.000000
DTLA,2024-07-03,13,7,2,0,30.000000,31.010544,38.773319,17.566378,33.839996,3.000000,0.000000,0.000000
DTLA,2024-07-03,14,7,2,0,29.900000,30.263401,38.000416,20.150354,37.799999,8.000000,0.000000,0.000000
DTLA,2024-07-03,15,7,2,0,29.400000,29.371765,38.984306,20.523157,38.160000,9.000000,0.000000,0.000000
DTLA,2024-07-03,16,7,2,0,28.100000,27.416563,41.494755,20.592503,38.519997,5.000000,0.000000,0.000000
DTLA,2024-07-03,17,7,2,0,25.950001,24.714371,47.849453,19.228851,37.439999,7.000000,0.000000,0.000000
DTLA,2024-07-03,18,7,2,0,24.850000,24.157278,53.447098,15.530151,32.039997,5.000000,0.000000,0.000000
DTLA,2024-07-03,19,7,2,0,22.549999,22.558115,62.381256,11.384198,29.160000,11.000000,0.000000,0.000000
DTLA,2024-07-03,20,7,2,0,20.100000,20.266678,74.853722,11.631956,22.319998,13.000000,0.000000,0.000000
DTLA,2024-07-03,21,7,2,0,18.500000,19.047318,85.379242,10.390226,21.240000,23.000000,0.000000,0.000000
DTLA,2024-07-03,22,7,2,0,17.850000,18.663252,89.219536,8.707238,19.080000,22.000000,0.000000,0.000000
DTLA,2024-07-03,23,7,2,0,17.750000,19.058874,90.069916,5.447788,16.199999,14.000000,0.000000,0.000000
DTLA,2024-07-04,0,7,3,0,17.400000,18.856003,91.202866,4.024922,11.520000,41.000000,0.000000,0.000000
DTLA,2024-07-04,1,7,3,0,17.000000,18.604530,92.647438,2.595997,9.720000,43.000000,0.000000,0.000000
DTLA,2024-07-04,2,7,3,0,16.650000,18.384438,93.822693,1.297998,7.200000,55.000000,0.000000,0.000000
DTLA,2024-07-04,3,7,3,0,16.150000,17.888168,96.546623,1.138420,5.760000,100.000000,0.000000,0.000000
DTLA,2024-07-04,4,7,3,0,15.900000,17.351673,97.785835,2.968636,7.200000,100.000000,0.000000,0.000000
DTLA,2024-07-04,5,7,3,0,15.800000,17.200607,98.412781,3.319036,7.920000,100.000000,0.000000,0.000000
DTLA,2024-07-04,6,7,3,0,15.700000,17.282980,98.411583,1.800000,8.640000,100.000000,0.000000,0.000000
DTLA,2024-07-04,7,7,3,0,16.150000,17.630919,96.546623,2.902413,10.799999,100.000000,0.000000,0.000000
DTLA,2024-07-04,8,7,3,0,18.400000,19.944580,83.211655,2.189795,11.159999,31.000000,0.000000,0.000000
DTLA,2024-07-04,9,7,3,0,21.049999,22.251665,69.028343,3.600000,14.759999,4.000000,0.000000,0.000000
DTLA,2024-07-04,10,7,3,0,23.750000,24.983015,59.717136,7.568566,19.799999,0.000000,0.000000,0.000000
DTLA,2024-07-04,11,7,3,0,26.000000,27.874165,54.256233,10.594036,24.480000,0.000000,0.000000,0.000000
DTLA,2024-07-04,12,7,3,0,27.799999,30.106995,49.120743,11.918120,27.000000,0.000000,0.000000,0.000000
DTLA,2024-07-04,13,7,3,0,29.100000,31.229454,44.682335,14.186923,29.519999,2.000000,0.000000,0.000000
DTLA,2024-07-04,14,7,3,0,29.250000,30.578060,43.315388,17.884428,34.560001,6.000000,0.000000,0.000000
DTLA,2024-07-04,15,7,3,0,28.850000,29.671696,43.764599,18.391737,35.279999,5.000000,0.000000,0.000000
DTLA,2024-07-04,16,7,3,0,28.250000,28.360443,44.166046,18.000000,35.279999,5.000000,0.000000,0.000000
DTLA,2024-07-04,17,7,3,0,27.049999,26.400558,46.169361,16.992609,34.560001,1.000000,0.000000,0.000000
DTLA,2024-07-04,18,7,3,0,25.650000,24.893288,50.471519,15.580141,29.519999,1.000000,0.000000,0.000000
DTLA,2024-07-04,19,7,3,0,23.650000,23.365028,56.515305,12.101570,29.160000,1.000000,0.000000,0.000000
DTLA,2024-07-04,20,7,3,0,22.150000,22.343357,62.694260,9.339208,23.039999,0.000000,0.000000,0.000000
DTLA,2024-07-04,21,7,3,0,20.650000,21.157410,70.068825,7.968939,17.280001,0.000000,0.000000,0.000000
DTLA,2024-07-04,22,7,3,0,19.700001,20.560123,74.787094,5.815978,15.480000,0.000000,0.000000,0.000000
DTLA,2024-07-04,23,7,3,0,19.200001,19.948078,75.673119,5.804825,12.240000,0.000000,0.000000,0.000000
DTLA,2024-07-05,0,7,4,0,18.799999,19.256250,76.838524,7.421590,12.599999,0.000000,0.000000,0.000000
DTLA,2024-07-05,1,7,4,0,18.100000,18.817593,80.542366,5.760000,13.320000,1.000000,0.000000,0.000000
DTLA,2024-07-05,2,7,4,0,17.549999,18.351433,83.648880,5.315336,10.440001,0.000000,0.000000,0.000000
DTLA,2024-07-05,3,7,4,0,17.400000,18.337631,84.717117,4.510787,9.000000,0.000000,0.000000,0.000000
DTLA,2024-07-05,4,7,4,0,17.200001,18.208570,85.794746,4.024922,7.559999,0.000000,0.000000,0.000000
DTLA,2024-07-05,5,7,4,0,16.900000,18.200184,88.573380,2.545584,6.120000,0.000000,0.000000,0.000000
