region,date,hour,month,weekday,weekend_flag,temperature_c,apparent_temperature,rel_humidity,wind_speed_ms,wind_gust_ms,cloud_cover,precipitation,rain
DTLA,2024-07-01,1,7,0,0,18.003000,18.770311,84.510818,7.127636,10.799999,0.000000,0.000000,0.000000
DTLA,2024-07-01,2,7,0,0,17.353001,18.186275,85.810272,5.623380,10.440001,2.000000,0.000000,0.000000
DTLA,2024-07-01,3,7,0,0,16.802999,17.737507,89.424255,5.191994,8.280000,3.000000,0.000000,0.000000
DTLA,2024-07-01,4,7,0,0,16.353001,17.350716,92.909981,5.154416,7.559999,6.000000,0.000000,0.000000
DTLA,2024-07-01,5,7,0,0,15.903000,17.075060,95.614975,3.960000,7.200000,6.000000,0.000000,0.000000
DTLA,2024-07-01,6,7,0,0,16.302999,17.392824,97.480820,6.409617,12.959999,57.000000,0.000000,0.000000
DTLA,2024-07-01,7,7,0,0,16.403000,17.819675,96.245125,3.893995,11.520000,99.000000,0.000000,0.000000
DTLA,2024-07-01,8,7,0,0,18.302999,19.801424,86.456413,3.877318,12.240000,31.000000,0.000000,0.000000
DTLA,2024-07-01,9,7,0,0,20.953001,22.073656,72.177925,5.771239,16.559999,12.000000,0.000000,0.000000
DTLA,2024-07-01,10,7,0,0,23.703001,24.783895,58.191639,7.594207,19.799999,0.000000,0.000000,0.000000
DTLA,2024-07-01,11,7,0,0,26.853001,28.444160,46.265358,9.028754,22.680000,0.000000,0.000000,0.000000
DTLA,2024-07-01,12,7,0,0,29.503000,31.267056,39.266357,11.609651,25.919998,0.000000,0.000000,0.000000
DTLA,2024-07-01,13,7,0,0,31.052999,32.486744,35.349663,14.587776,30.239998,0.000000,0.000000,0.000000
DTLA,2024-07-01,14,7,0,0,31.403000,32.300541,34.427990,17.238699,33.480000,1.000000,0.000000,0.000000
DTLA,2024-07-01,15,7,0,0,30.853001,31.213818,35.065601,18.289274,34.919998,2.000000,0.000000,0.000000
DTLA,2024-07-01,16,7,0,0,30.253000,29.670231,33.444813,17.935081,34.919998,1.000000,0.000000,0.000000
DTLA,2024-07-01,17,7,0,0,29.153000,27.596067,33.139122,16.595179,33.839996,1.000000,0.000000,0.000000
DTLA,2024-07-01,18,7,0,0,26.302999,24.553875,42.364986,17.339897,32.039997,2.000000,0.000000,0.000000
DTLA,2024-07-01,19,7,0,0,24.052999,22.675034,47.337669,14.021525,31.319998,1.000000,0.000000,0.000000
DTLA,2024-07-01,20,7,0,0,21.353001,21.158937,61.708572,9.511088,24.840000,10.000000,0.000000,0.000000
DTLA,2024-07-01,21,7,0,0,19.653000,20.321247,74.539154,6.877790,17.639999,1.000000,0.000000,0.000000
DTLA,2024-07-01,22,7,0,0,19.103001,19.894381,77.631050,6.297428,13.320000,1.000000,0.000000,0.000000
DTLA,2024-07-01,23,7,0,0,18.753000,19.401711,79.091011,7.145796,11.879999,0.000000,0.000000,0.000000
DTLA,2024-07-02,0,7,1,0,18.203001,18.838848,83.188438,7.895416,12.959999,0.000000,0.000000,0.000000
DTLA,2024-07-02,1,7,1,0,17.453001,18.444124,88.619125,6.130579,12.240000,1.000000,0.000000,0.000000
DTLA,2024-07-02,2,7,1,0,16.703001,17.944969,94.427139,5.091168,9.720000,5.000000,0.000000,0.000000
DTLA,2024-07-02,3,7,1,0,16.153000,17.754347,98.417076,2.902413,7.559999,76.000000,0.000000,0.000000
DTLA,2024-07-02,4,7,1,0,15.753000,17.411757,100.000000,2.099143,5.040000,98.000000,0.000000,0.000000
DTLA,2024-07-02,5,7,1,0,15.553000,17.333897,100.000000,0.720000,5.040000,100.000000,0.000000,0.000000
DTLA,2024-07-02,6,7,1,0,15.903000,17.042614,97.785889,5.116561,10.440001,100.000000,0.000000,0.000000
DTLA,2024-07-02,7,7,1,0,16.052999,17.234364,96.853851,4.829907,11.520000,100.000000,0.000000,0.000000
DTLA,2024-07-02,8,7,1,0,16.653000,17.884518,92.925812,4.349896,12.599999,100.000000,0.000000,0.000000
DTLA,2024-07-02,9,7,1,0,18.353001,19.681494,83.206116,3.545589,12.959999,100.000000,0.000000,0.000000
DTLA,2024-07-02,10,7,1,0,21.353001,22.525482,68.206810,4.334974,15.480000,70.000000,0.000000,0.000000
DTLA,2024-07-02,11,7,1,0,24.653000,26.442513,52.881981,5.804825,18.359999,10.000000,0.000000,0.000000
DTLA,2024-07-02,12,7,1,0,28.103001,30.446831,42.585781,7.862518,21.240000,0.000000,0.000000,0.000000
DTLA,2024-07-02,13,7,1,0,30.453001,32.434940,37.786079,12.594856,27.000000,0.000000,0.000000,0.000000
DTLA,2024-07-02,14,7,1,0,30.802999,31.964172,38.374001,18.335276,34.560001,0.000000,0.000000,0.000000
DTLA,2024-07-02,15,7,1,0,29.953001,30.003727,37.769558,20.808498,38.160000,2.000000,0.000000,0.000000
