region,date,hour,month,weekday,weekend_flag,temperature_c,apparent_temperature,rel_humidity,wind_speed_ms,wind_gust_ms,cloud_cover,precipitation,rain
DTLA,2025-04-01,1,4,1,0,11.153000,10.595954,90.480789,3.259938,6.480000,99.000000,0.000000,0.000000
DTLA,2025-04-01,2,4,1,0,11.053000,10.175253,88.072556,4.514377,8.280000,84.000000,0.000000,0.000000
DTLA,2025-04-01,3,4,1,0,11.203000,9.746907,79.854462,6.151683,12.240000,11.000000,0.000000,0.000000
DTLA,2025-04-01,4,4,1,0,10.603001,9.120182,79.225044,5.154416,11.879999,88.000000,0.000000,0.000000
DTLA,2025-04-01,5,4,1,0,10.503000,8.721085,79.210388,7.040739,12.959999,55.000000,0.000000,0.000000
DTLA,2025-04-01,6,4,1,0,10.053000,8.275220,82.750740,7.342588,14.400000,79.000000,0.000000,0.000000
DTLA,2025-04-01,7,4,1,0,9.653000,8.019486,85.580650,6.519877,14.400000,86.000000,0.000000,0.000000
DTLA,2025-04-01,8,4,1,0,10.603001,9.017918,83.668541,7.208994,15.119999,85.000000,0.000000,0.000000
DTLA,2025-04-01,9,4,1,0,13.303000,11.535047,70.034187,8.461914,21.599998,78.000000,0.000000,0.000000
DTLA,2025-04-01,10,4,1,0,16.052999,11.975351,36.204578,14.545515,35.639999,31.000000,0.000000,0.000000
DTLA,2025-04-01,11,4,1,0,17.052999,13.596556,34.839336,16.276815,41.039997,66.000000,0.000000,0.000000
DTLA,2025-04-01,12,4,1,0,17.903000,15.607355,36.744068,14.241629,41.399998,91.000000,0.000000,0.000000
DTLA,2025-04-01,13,4,1,0,19.302999,16.846605,30.686478,16.068466,41.399998,100.000000,0.000000,0.000000
DTLA,2025-04-01,14,4,1,0,19.403000,16.058401,31.157207,18.720863,45.000000,92.000000,0.000000,0.000000
DTLA,2025-04-01,15,4,1,0,18.003000,13.969582,37.165257,19.738539,48.959999,81.000000,0.000000,0.000000
DTLA,2025-04-01,16,4,1,0,18.052999,14.270945,40.878952,17.819090,47.160000,85.000000,0.100000,0.100000
DTLA,2025-04-01,17,4,1,0,17.302999,14.023880,44.687920,14.357185,43.199997,100.000000,0.000000,0.000000
DTLA,2025-04-01,18,4,1,0,16.052999,12.977942,53.481174,15.175612,41.039997,100.000000,0.000000,0.000000
DTLA,2025-04-01,19,4,1,0,14.553000,12.288235,61.149632,10.514218,34.560001,87.000000,0.000000,0.000000
DTLA,2025-04-01,20,4,1,0,13.753000,11.859791,64.621727,8.049845,21.959999,100.000000,0.000000,0.000000
DTLA,2025-04-01,21,4,1,0,13.503000,11.385079,62.172169,8.297589,16.559999,100.000000,0.000000,0.000000
DTLA,2025-04-01,22,4,1,0,12.803000,10.067022,61.580173,11.304229,23.400000,100.000000,0.000000,0.000000
DTLA,2025-04-01,23,4,1,0,12.053000,9.566257,62.916378,9.001800,23.759998,90.000000,0.000000,0.000000
DTLA,2025-04-02,0,4,2,0,11.203000,9.267476,67.714981,5.591600,18.359999,5.000000,0.000000,0.000000
DTLA,2025-04-02,1,4,2,0,10.053000,8.532547,75.416306,3.424733,10.799999,12.000000,0.000000,0.000000
DTLA,2025-04-02,2,4,2,0,9.603001,7.846382,76.127419,4.589118,9.000000,25.000000,0.000000,0.000000
DTLA,2025-04-02,3,4,2,0,9.203000,7.041586,75.271591,6.552099,13.320000,15.000000,0.000000,0.000000
DTLA,2025-04-02,4,4,2,0,8.453000,6.040394,77.814674,7.913860,14.759999,21.000000,0.000000,0.000000
DTLA,2025-04-02,5,4,2,0,8.353001,5.394504,73.819725,10.472536,20.160000,18.000000,0.000000,0.000000
