region,date,hour,month,weekday,weekend_flag,temperature_c,apparent_temperature,rel_humidity,wind_speed_ms,wind_gust_ms,cloud_cover,precipitation,rain
NYC_Middle,2023-01-01,0,1,6,1,10.600000,9.649616,98.676117,7.421590,19.799999,100.000000,1.000000,1.000000
NYC_Middle,2023-01-01,1,1,6,1,10.550000,8.727260,98.019196,13.104198,19.080000,76.000000,0.100000,0.100000
NYC_Middle,2023-01-01,2,1,6,1,10.450000,8.106567,96.392250,15.986595,24.480000,3.000000,0.000000,0.000000
NYC_Middle,2023-01-01,3,1,6,1,9.800000,7.227177,95.405441,16.039202,25.199999,0.000000,0.000000,0.000000
NYC_Middle,2023-01-01,4,1,6,1,9.150000,6.416673,94.738182,15.778518,25.199999,61.000000,0.000000,0.000000
NYC_Middle,2023-01-01,5,1,6,1,8.650000,5.731992,93.755272,15.913465,26.280001,71.000000,0.000000,0.000000
NYC_Middle,2023-01-01,6,1,6,1,7.900000,5.217885,94.363335,13.207634,25.199999,58.000000,0.000000,0.000000
NYC_Middle,2023-01-01,7,1,6,1,6.750000,4.292283,96.952469,10.464798,20.880001,76.000000,0.000000,0.000000
NYC_Middle,2023-01-01,8,1,6,1,8.000000,5.520313,94.045296,11.901798,19.080000,67.000000,0.000000,0.000000
NYC_Middle,2023-01-01,9,1,6,1,9.550000,6.715715,90.058754,15.856356,24.840000,43.000000,0.000000,0.000000
NYC_Middle,2023-01-01,10,1,6,1,10.600000,7.736717,83.953094,16.055353,27.000000,85.000000,0.000000,0.000000
NYC_Middle,2023-01-01,11,1,6,1,10.950000,7.560108,74.281059,17.253731,30.239998,46.000000,0.000000,0.000000
NYC_Middle,2023-01-01,12,1,6,1,11.500000,8.022579,67.777306,16.610792,30.239998,44.000000,0.000000,0.000000
NYC_Middle,2023-01-01,13,1,6,1,11.850000,8.001736,60.926605,17.399586,30.599998,4.000000,0.000000,0.000000
NYC_Middle,2023-01-01,14,1,6,1,11.950000,8.124822,56.624367,15.941944,30.599998,1.000000,0.000000,0.000000
NYC_Middle,2023-01-01,15,1,6,1,11.750000,8.330031,55.583164,12.574260,27.719999,7.000000,0.000000,0.000000
NYC_Middle,2023-01-01,16,1,6,1,10.200000,7.856003,64.722862,6.120000,20.519999,2.000000,0.000000,0.000000
NYC_Middle,2023-01-01,17,1,6,1,7.000000,3.998464,75.690544,9.511088,12.240000,16.000000,0.000000,0.000000
NYC_Middle,2023-01-01,18,1,6,1,5.400000,2.351796,82.742172,9.449572,10.799999,0.000000,0.000000,0.000000
NYC_Middle,2023-01-01,19,1,6,1,4.950000,1.799798,82.098137,9.470120,17.639999,1.000000,0.000000,0.000000
NYC_Middle,2023-01-01,20,1,6,1,6.150000,2.875247,82.545403,11.901798,18.000000,5.000000,0.000000,0.000000
NYC_Middle,2023-01-01,21,1,6,1,5.100000,2.429991,86.299965,7.235910,18.359999,55.000000,0.000000,0.000000
NYC_Middle,2023-01-01,22,1,6,1,5.850000,3.244087,82.799141,6.989935,12.959999,100.000000,0.000000,0.000000
NYC_Middle,2023-01-01,23,1,6,1,6.200000,3.485679,81.682838,7.928177,11.520000,100.000000,0.000000,0.000000
NYC_Middle,2023-01-02,0,1,0,0,6.500000,4.249171,82.880928,5.411986,12.599999,69.000000,0.000000,0.000000
NYC_Middle,2023-01-02,1,1,0,0,5.600000,2.895154,85.744621,7.993297,11.520000,77.000000,0.000000,0.000000
NYC_Middle,2023-01-02,2,1,0,0,4.550000,1.812806,89.673645,7.695920,11.879999,98.000000,0.000000,0.000000
