date,temperature_c_mean,rain_sum,wind_speed_ms_max,precipitation_sum,region,month,weekday,weekend_flag,missing_weather_flag
2024-09-23,23.909666,0.000000,10.137691,0.000000,North Hollywood,9,0,0,0
2024-09-24,21.070084,0.000000,11.874544,0.000000,North Hollywood,9,1,0,0
2024-09-25,20.724253,0.000000,10.449306,0.000000,North Hollywood,9,2,0,0
2024-09-26,20.353416,0.000000,10.215693,0.000000,North Hollywood,9,3,0,0
2024-09-27,20.759668,0.000000,9.756598,0.000000,North Hollywood,9,4,0,0
2024-09-28,20.495083,0.000000,11.793777,0.000000,North Hollywood,9,5,1,0
2024-09-29,22.322168,0.000000,13.055896,0.000000,North Hollywood,9,6,1,0
2024-09-30,24.603416,0.000000,10.062305,0.000000,North Hollywood,9,0,0,0
2024-10-01,26.453415,0.000000,10.416698,0.000000,North Hollywood,10,1,0,0
2024-10-02,28.509665,0.000000,11.726277,0.000000,North Hollywood,10,2,0,0
2024-10-03,25.593002,0.000000,9.885262,0.000000,North Hollywood,10,3,0,0
2024-10-04,23.911757,0.000000,10.416698,0.000000,North Hollywood,10,4,0,0
2024-10-05,25.288832,0.000000,11.225132,0.000000,North Hollywood,10,5,1,0
2024-10-06,25.834665,0.000000,9.052050,0.000000,North Hollywood,10,6,1,0
2024-10-07,25.870085,0.000000,12.200230,0.000000,North Hollywood,10,0,0,0
2024-10-08,25.782585,0.000000,11.063778,0.000000,North Hollywood,10,1,0,0
2024-10-09,23.332582,0.000000,10.158444,0.000000,North Hollywood,10,2,0,0
2024-10-10,22.490919,0.000000,11.570515,0.000000,North Hollywood,10,3,0,0
2024-10-11,25.082582,0.000000,13.414530,0.000000,North Hollywood,10,4,0,0
2024-10-12,23.707582,0.000000,12.144331,0.000000,North Hollywood,10,5,1,0
2024-10-13,19.605499,0.000000,11.126562,0.000000,North Hollywood,10,6,1,0
2024-10-14,17.915918,0.000000,9.854075,0.000000,North Hollywood,10,0,0,0
2024-10-15,17.409666,0.000000,9.582358,0.000000,North Hollywood,10,1,0,0
2024-10-16,17.345085,0.200000,12.466867,0.200000,North Hollywood,10,2,0,0
2024-10-17,17.349251,0.800000,14.383114,0.800000,North Hollywood,10,3,0,0
2024-10-18,19.465918,0.000000,27.678474,0.000000,North Hollywood,10,4,0,0
2024-10-19,19.403418,0.000000,15.287288,0.000000,North Hollywood,10,5,1,0
2024-10-20,21.536749,0.000000,11.897714,0.000000,North Hollywood,10,6,1,0
2024-10-21,22.586748,0.000000,12.601285,0.000000,North Hollywood,10,0,0,0
2024-10-22,22.828417,0.000000,9.779817,0.000000,North Hollywood,10,1,0,0
2024-10-23,23.032583,0.000000,10.801499,0.000000,North Hollywood,10,2,0,0
2024-10-24,23.792999,0.000000,11.183201,0.000000,North Hollywood,10,3,0,0
2024-10-25,22.672165,0.000000,9.997699,0.000000,North Hollywood,10,4,0,0
2024-10-26,23.407585,0.000000,9.292254,0.000000,North Hollywood,10,5,1,0
2024-10-27,22.782579,0.000000,10.081606,0.000000,North Hollywood,10,6,1,0
2024-10-28,17.847168,1.600000,18.837322,1.600000,North Hollywood,10,0,0,0
2024-10-29,15.151332,0.000000,31.079075,0.000000,North Hollywood,10,1,0,0
2024-10-30,15.120084,0.000000,11.276968,0.000000,North Hollywood,10,2,0,0
2024-10-31,15.188834,0.000000,13.803782,0.000000,North Hollywood,10,3,0,0
2024-11-01,14.893001,0.000000,10.360559,0.000000,North Hollywood,11,4,0,0
2024-11-02,14.707583,0.800000,13.330941,0.800000,North Hollywood,11,5,1,0
2024-11-03,15.903419,0.000000,33.014175,0.000000,North Hollywood,11,6,1,0
2024-11-04,16.784666,0.000000,15.743569,0.000000,North Hollywood,11,0,0,0
2024-11-05,16.359665,0.000000,10.441552,0.000000,North Hollywood,11,1,0,0
2024-11-06,16.540916,0.000000,47.448013,0.000000,North Hollywood,11,2,0,0
2024-11-07,16.280500,0.000000,19.328011,0.000000,North Hollywood,11,3,0,0
2024-11-08,14.609668,0.000000,9.906544,0.000000,North Hollywood,11,4,0,0
2024-11-09,17.315916,0.000000,7.814985,0.000000,North Hollywood,11,5,1,0
2024-11-10,17.859667,0.000000,9.459852,0.000000,North Hollywood,11,6,1,0
2024-11-11,16.826332,0.000000,16.546297,0.000000,North Hollywood,11,0,0,0
2024-11-12,15.790915,0.000000,31.862036,0.000000,North Hollywood,11,1,0,0
2024-11-13,16.476334,0.000000,12.069400,0.000000,North Hollywood,11,2,0,0
2024-11-14,15.540919,0.000000,11.870451,0.000000,North Hollywood,11,3,0,0
2024-11-15,13.178417,1.200000,18.252037,1.200000,North Hollywood,11,4,0,0
2024-11-16,12.038835,0.000000,16.676977,0.000000,North Hollywood,11,5,1,0
2024-11-17,13.967999,0.000000,13.797913,0.000000,North Hollywood,11,6,1,0
2024-11-18,12.655501,0.000000,24.119999,0.000000,North Hollywood,11,0,0,0
2024-11-19,13.043000,0.000000,22.087988,0.000000,North Hollywood,11,1,0,0
2024-11-20,14.174249,0.000000,10.783487,0.000000,North Hollywood,11,2,0,0
2024-11-21,15.328416,0.000000,7.922045,0.000000,North Hollywood,11,3,0,0
2024-11-22,15.538834,0.000000,6.948093,0.000000,North Hollywood,11,4,0,0
2024-11-23,12.684667,0.600000,5.247857,0.600000,North Hollywood,11,5,1,0
2024-11-24,13.926334,1.000000,10.308830,1.000000,North Hollywood,11,6,1,0
2024-11-25,13.868000,0.000000,2.846050,0.000000,North Hollywood,11,0,0,0
2024-11-26,14.872167,0.900000,6.640512,0.900000,North Hollywood,11,1,0,0
2024-11-27,16.686750,0.000000,8.260411,0.000000,North Hollywood,11,2,0,0
2024-11-28,16.311749,0.000000,11.016824,0.000000,North Hollywood,11,3,0,0
2024-11-29,15.401334,0.000000,11.612441,0.000000,North Hollywood,11,4,0,0
2024-11-30,16.768000,0.000000,12.487641,0.000000,North Hollywood,11,5,1,0
2024-12-01,16.915916,0.000000,8.107996,0.000000,North Hollywood,12,6,1,0
2024-12-02,15.226334,0.000000,7.993298,0.000000,North Hollywood,12,0,0,0
2024-12-03,14.415916,0.000000,7.010763,0.000000,North Hollywood,12,1,0,0
2024-12-04,13.130501,0.000000,6.746999,0.000000,North Hollywood,12,2,0,0
2024-12-05,14.405499,0.000000,7.382195,0.000000,North Hollywood,12,3,0,0
2024-12-06,19.007586,0.000000,11.525623,0.000000,North Hollywood,12,4,0,0
2024-12-07,18.253420,0.000000,11.157096,0.000000,North Hollywood,12,5,1,0
2024-12-08,15.520082,0.000000,8.049845,0.000000,North Hollywood,12,6,1,0
2024-12-09,14.430500,0.000000,11.749741,0.000000,North Hollywood,12,0,0,0
2024-12-10,15.530501,0.000000,14.689589,0.000000,North Hollywood,12,1,0,0
2024-12-11,13.453416,0.000000,12.503200,0.000000,North Hollywood,12,2,0,0
2024-12-12,11.509666,0.000000,10.348042,0.000000,North Hollywood,12,3,0,0
2024-12-13,10.893001,0.000000,7.353611,0.000000,North Hollywood,12,4,0,0
2024-12-14,12.655501,0.100000,9.958735,0.100000,North Hollywood,12,5,1,0
2024-12-15,12.101335,0.000000,12.961250,0.000000,North Hollywood,12,6,1,0
2024-12-16,13.515918,0.000000,9.741642,0.000000,North Hollywood,12,0,0,0
2024-12-17,16.520084,0.000000,18.679283,0.000000,North Hollywood,12,1,0,0
2024-12-18,21.057583,0.000000,13.804955,0.000000,North Hollywood,12,2,0,0
2024-12-19,18.724249,0.000000,10.096059,0.000000,North Hollywood,12,3,0,0
2024-12-20,15.488833,0.000000,6.143777,0.000000,North Hollywood,12,4,0,0
2024-12-21,14.795082,0.000000,6.502460,0.000000,North Hollywood,12,5,1,0
2024-12-22,15.436749,0.000000,5.896202,0.000000,North Hollywood,12,6,1,0
2024-12-23,14.665916,0.000000,6.861282,0.000000,North Hollywood,12,0,0,0
2024-12-24,13.486751,0.200000,23.983269,0.200000,North Hollywood,12,1,0,0
2024-12-25,13.407582,0.000000,23.441502,0.000000,North Hollywood,12,2,0,0
2024-12-26,13.713833,0.000000,12.872201,0.000000,North Hollywood,12,3,0,0
