region,date,hour,month,weekday,weekend_flag,temperature_c,apparent_temperature,rel_humidity,wind_speed_ms,wind_gust_ms,cloud_cover,precipitation,rain
North Hollywood,2024-07-01,1,7,0,0,17.850000,19.401300,86.689667,2.414953,7.559999,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,2,7,0,0,17.250000,18.917612,89.745705,1.484318,4.680000,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,3,7,0,0,16.200001,17.680754,92.901901,1.440000,3.240000,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,4,7,0,0,16.250000,17.854862,92.904541,0.720000,3.240000,1.000000,0.000000,0.000000
North Hollywood,2024-07-01,5,7,0,0,15.100000,16.300564,94.972160,1.440000,3.240000,1.000000,0.000000,0.000000
North Hollywood,2024-07-01,6,7,0,0,16.299999,17.852633,95.934731,2.545584,5.760000,100.000000,0.000000,0.000000
North Hollywood,2024-07-01,7,7,0,0,16.600000,17.989307,95.028725,4.072935,12.240000,100.000000,0.000000,0.000000
North Hollywood,2024-07-01,8,7,0,0,18.549999,20.083830,84.031807,3.075841,13.320000,39.000000,0.000000,0.000000
North Hollywood,2024-07-01,9,7,0,0,21.750000,23.101015,69.165115,4.452954,16.919998,21.000000,0.000000,0.000000
North Hollywood,2024-07-01,10,7,0,0,24.850000,26.500860,56.446960,5.771239,20.880001,5.000000,0.000000,0.000000
North Hollywood,2024-07-01,11,7,0,0,27.850000,29.812370,44.773140,8.209263,25.199999,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,12,7,0,0,30.049999,32.429771,38.662121,9.114471,27.719999,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,13,7,0,0,31.200001,33.877441,37.387081,10.105681,28.799999,2.000000,0.000000,0.000000
North Hollywood,2024-07-01,14,7,0,0,31.450001,34.136364,37.576691,10.390226,29.519999,1.000000,0.000000,0.000000
North Hollywood,2024-07-01,15,7,0,0,31.549999,33.399174,33.584885,10.041354,29.879999,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,16,7,0,0,31.500000,31.971935,29.347670,10.308831,28.799999,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,17,7,0,0,30.700001,29.982986,28.648594,9.957108,27.719999,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,18,7,0,0,27.400000,26.583002,38.680428,10.041354,26.280001,1.000000,0.000000,0.000000
North Hollywood,2024-07-01,19,7,0,0,24.600000,23.941971,43.447060,7.342588,24.840000,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,20,7,0,0,21.350000,21.545874,55.213043,2.902413,16.919998,3.000000,0.000000,0.000000
North Hollywood,2024-07-01,21,7,0,0,19.100000,19.696182,67.974091,2.545584,6.120000,3.000000,0.000000,0.000000
North Hollywood,2024-07-01,22,7,0,0,17.900000,18.599356,77.448204,3.877318,6.480000,3.000000,0.000000,0.000000
North Hollywood,2024-07-01,23,7,0,0,16.950001,17.775303,86.324615,4.896529,7.559999,1.000000,0.000000,0.000000
North Hollywood,2024-07-02,0,7,1,0,17.650000,18.831684,85.017075,3.617955,7.559999,0.000000,0.000000,0.000000
North Hollywood,2024-07-02,1,7,1,0,16.850000,18.147772,90.293839,3.219938,5.760000,0.000000,0.000000,0.000000
North Hollywood,2024-07-02,2,7,1,0,16.100000,17.670511,95.009964,1.484318,5.400000,20.000000,0.000000,0.000000
North Hollywood,2024-07-02,3,7,1,0,14.450000,15.598230,99.034996,1.800000,3.240000,100.000000,0.000000,0.000000
North Hollywood,2024-07-02,4,7,1,0,14.650000,15.746977,98.081169,2.276840,4.320000,100.000000,0.000000,0.000000
North Hollywood,2024-07-02,5,7,1,0,15.350000,16.706955,97.776505,2.160000,5.760000,99.000000,0.000000,0.000000
North Hollywood,2024-07-02,6,7,1,0,14.900000,16.233818,99.358002,1.800000,7.559999,100.000000,0.000000,0.000000
North Hollywood,2024-07-02,7,7,1,0,15.550000,17.107815,98.094376,1.440000,9.720000,100.000000,0.000000,0.000000
North Hollywood,2024-07-02,8,7,1,0,16.350000,17.805552,95.324135,3.075841,12.959999,100.000000,0.000000,0.000000
North Hollywood,2024-07-02,9,7,1,0,18.549999,19.865593,82.698036,3.893995,15.840000,75.000000,0.000000,0.000000
North Hollywood,2024-07-02,10,7,1,0,22.400000,24.078760,66.055069,4.349896,19.080000,24.000000,0.000000,0.000000
North Hollywood,2024-07-02,11,7,1,0,26.100000,28.478947,50.752316,5.815978,21.599998,0.000000,0.000000,0.000000
North Hollywood,2024-07-02,12,7,1,0,29.049999,31.450184,40.824306,8.654986,26.280001,0.000000,0.000000,0.000000
North Hollywood,2024-07-02,13,7,1,0,30.500000,33.129547,38.413750,10.086427,28.799999,0.000000,0.000000,0.000000
North Hollywood,2024-07-02,14,7,1,0,30.650000,33.185612,38.953270,11.013882,30.960001,1.000000,0.000000,0.000000
North Hollywood,2024-07-02,15,7,1,0,30.950001,32.849258,35.666492,10.390226,30.960001,1.000000,0.000000,0.000000
North Hollywood,2024-07-02,16,7,1,0,30.799999,31.674179,34.485069,11.177405,29.519999,1.000000,0.000000,0.000000
North Hollywood,2024-07-02,17,7,1,0,29.250000,29.184048,38.690582,12.261158,30.599998,0.000000,0.000000,0.000000
North Hollywood,2024-07-02,18,7,1,0,28.000000,27.929611,42.695446,9.726665,26.639999,0.000000,0.000000,0.000000
North Hollywood,2024-07-02,19,7,1,0,25.049999,25.485556,52.136337,7.280550,23.039999,1.000000,0.000000,0.000000
North Hollywood,2024-07-02,20,7,1,0,21.250000,22.186226,68.846252,5.815978,16.919998,2.000000,0.000000,0.000000
North Hollywood,2024-07-02,21,7,1,0,19.250000,20.761868,79.161766,2.545584,10.799999,5.000000,0.000000,0.000000
North Hollywood,2024-07-02,22,7,1,0,18.250000,19.657406,85.080681,3.671294,7.559999,7.000000,0.000000,0.000000
North Hollywood,2024-07-02,23,7,1,0,17.049999,18.713747,92.354530,2.189795,7.920000,7.000000,0.000000,0.000000
North Hollywood,2024-07-03,0,7,2,0,16.850000,18.623987,93.233902,1.297998,4.320000,6.000000,0.000000,0.000000
North Hollywood,2024-07-03,1,7,2,0,15.600000,16.929438,97.154663,2.741678,3.600000,5.000000,0.000000,0.000000
North Hollywood,2024-07-03,2,7,2,0,15.350000,16.424532,96.836967,3.706427,5.400000,3.000000,0.000000,0.000000
North Hollywood,2024-07-03,3,7,2,0,15.650000,16.475758,93.776268,4.896529,6.840000,1.000000,0.000000,0.000000
North Hollywood,2024-07-03,4,7,2,0,15.900000,16.661118,91.105057,4.829907,6.840000,4.000000,0.000000,0.000000
North Hollywood,2024-07-03,5,7,2,0,15.500000,16.342573,92.564926,3.893995,6.840000,15.000000,0.000000,0.000000
North Hollywood,2024-07-03,6,7,2,0,14.650000,15.741337,97.764526,2.189795,9.360000,67.000000,0.000000,0.000000
North Hollywood,2024-07-03,7,7,2,0,16.049999,17.164955,89.945572,2.276840,9.720000,81.000000,0.000000,0.000000
