region,date,hour,month,weekday,weekend_flag,temperature_c,apparent_temperature,rel_humidity,wind_speed_ms,wind_gust_ms,cloud_cover,precipitation,rain
North Hollywood,2024-07-01,1,7,0,0,18.968000,20.415899,78.868050,2.099143,9.360000,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,2,7,0,0,18.568001,20.022190,81.124458,2.189795,5.760000,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,3,7,0,0,18.318001,19.843096,81.877510,1.440000,5.400000,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,4,7,0,0,17.918001,19.541155,86.142838,1.835647,3.240000,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,5,7,0,0,18.018000,19.686800,83.971840,0.720000,3.240000,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,6,7,0,0,17.918001,19.379383,83.154808,1.484318,7.200000,18.000000,0.000000,0.000000
North Hollywood,2024-07-01,7,7,0,0,19.068001,20.312756,77.625763,3.096837,8.280000,12.000000,0.000000,0.000000
North Hollywood,2024-07-01,8,7,0,0,21.168001,22.555559,69.496002,2.902413,10.799999,2.000000,0.000000,0.000000
North Hollywood,2024-07-01,9,7,0,0,23.868000,24.926638,59.363213,5.411986,15.480000,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,10,7,0,0,26.418001,27.426764,47.665943,7.568566,19.799999,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,11,7,0,0,28.568001,29.728428,40.035618,10.931203,25.199999,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,12,7,0,0,30.218000,31.635567,35.347824,12.245293,28.080000,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,13,7,0,0,31.618000,33.192345,32.421021,12.768586,28.799999,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,14,7,0,0,32.368000,33.961761,31.378468,12.758432,29.160000,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,15,7,0,0,32.767998,33.779556,28.452637,12.144331,28.799999,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,16,7,0,0,32.917999,32.917553,25.462183,11.609651,28.080000,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,17,7,0,0,32.368000,31.385681,25.401978,11.159999,26.639999,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,18,7,0,0,29.718000,28.734192,33.849010,11.212135,23.400000,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,19,7,0,0,27.218000,26.381474,38.249294,9.449572,23.759998,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,20,7,0,0,24.268000,23.793652,45.260944,6.763786,19.440001,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,21,7,0,0,21.968000,21.895424,53.580444,5.001280,13.320000,1.000000,0.000000,0.000000
North Hollywood,2024-07-01,22,7,0,0,20.768000,20.971491,59.788853,4.349896,10.799999,0.000000,0.000000,0.000000
North Hollywood,2024-07-01,23,7,0,0,19.568001,20.047346,67.187805,3.976330,9.000000,0.000000,0.000000,0.000000
North Hollywood,2024-07-02,0,7,1,0,18.468000,19.323294,75.309509,3.096837,8.280000,0.000000,0.000000,0.000000
North Hollywood,2024-07-02,1,7,1,0,17.568001,18.670618,81.518768,2.276840,6.840000,0.000000,0.000000,0.000000
North Hollywood,2024-07-02,2,7,1,0,16.968000,18.101954,84.944237,2.189795,5.760000,1.000000,0.000000,0.000000
North Hollywood,2024-07-02,3,7,1,0,16.417999,17.682447,89.972702,2.189795,5.400000,22.000000,0.000000,0.000000
North Hollywood,2024-07-02,4,7,1,0,16.668001,17.875414,89.413803,2.968636,5.760000,25.000000,0.000000,0.000000
North Hollywood,2024-07-02,5,7,1,0,16.918001,18.115337,86.880051,2.520000,6.480000,21.000000,0.000000,0.000000
North Hollywood,2024-07-02,6,7,1,0,15.418000,16.753256,96.216980,1.835647,8.640000,44.000000,0.000000,0.000000
North Hollywood,2024-07-02,7,7,1,0,16.068001,17.482958,93.795738,1.938659,7.920000,55.000000,0.000000,0.000000
