region,date,hour,month,weekday,weekend_flag,temperature_c,apparent_temperature,rel_humidity,wind_speed_ms,wind_gust_ms,cloud_cover,precipitation,rain
North Hollywood,2025-04-01,1,4,1,0,10.468000,10.175983,96.715874,2.052316,5.040000,64.000000,0.000000,0.000000
North Hollywood,2025-04-01,2,4,1,0,10.768001,10.013374,91.063698,4.072935,8.280000,21.000000,0.000000,0.000000
North Hollywood,2025-04-01,3,4,1,0,10.068001,8.931420,86.503075,4.072935,10.440001,10.000000,0.000000,0.000000
North Hollywood,2025-04-01,4,4,1,0,9.368000,7.995379,86.729179,4.589118,10.080000,43.000000,0.000000,0.000000
North Hollywood,2025-04-01,5,4,1,0,9.318001,7.733102,86.132896,5.796447,12.240000,87.000000,0.000000,0.000000
North Hollywood,2025-04-01,6,4,1,0,9.568001,8.110195,90.673988,6.623413,16.559999,82.000000,0.000000,0.000000
North Hollywood,2025-04-01,7,4,1,0,9.418000,7.823290,91.592194,7.562142,15.840000,83.000000,0.000000,0.000000
North Hollywood,2025-04-01,8,4,1,0,10.718000,8.866566,86.860878,10.210936,20.160000,85.000000,0.000000,0.000000
North Hollywood,2025-04-01,9,4,1,0,12.618000,8.443820,51.098759,17.258425,39.239998,79.000000,0.000000,0.000000
North Hollywood,2025-04-01,10,4,1,0,13.868000,9.694410,47.098320,17.253731,43.199997,78.000000,0.000000,0.000000
North Hollywood,2025-04-01,11,4,1,0,15.068001,11.842695,45.154667,15.661035,42.119999,92.000000,0.000000,0.000000
North Hollywood,2025-04-01,12,4,1,0,16.818001,14.642073,39.114639,13.954354,39.599998,100.000000,0.000000,0.000000
North Hollywood,2025-04-01,13,4,1,0,18.068001,15.387823,32.713924,15.874734,40.680000,68.000000,0.000000,0.000000
North Hollywood,2025-04-01,14,4,1,0,17.418001,14.560860,39.012573,18.582766,47.880001,93.000000,0.000000,0.000000
North Hollywood,2025-04-01,15,4,1,0,16.818001,13.536119,38.838318,16.928614,48.599998,81.000000,0.000000,0.000000
North Hollywood,2025-04-01,16,4,1,0,16.518000,12.611368,41.156464,17.845436,44.639996,95.000000,0.000000,0.000000
North Hollywood,2025-04-01,17,4,1,0,15.918000,12.224939,46.198246,16.077536,44.279999,98.000000,0.000000,0.000000
North Hollywood,2025-04-01,18,4,1,0,15.618000,12.538492,47.923439,12.221456,35.279999,98.000000,0.000000,0.000000
North Hollywood,2025-04-01,19,4,1,0,13.818001,11.039404,54.958885,10.587918,29.519999,89.000000,0.000000,0.000000
North Hollywood,2025-04-01,20,4,1,0,12.318001,9.523529,61.893974,11.133840,28.799999,100.000000,0.000000,0.000000
North Hollywood,2025-04-01,21,4,1,0,11.968000,9.445788,66.484009,10.316686,24.480000,100.000000,0.000000,0.000000
North Hollywood,2025-04-01,22,4,1,0,11.468000,8.522116,67.536392,12.841963,27.000000,100.000000,0.000000,0.000000
North Hollywood,2025-04-01,23,4,1,0,10.868000,7.976053,69.309189,12.172312,28.440001,3.000000,0.000000,0.000000
North Hollywood,2025-04-02,0,4,2,0,10.068001,7.449325,73.359192,10.373061,25.559999,9.000000,0.000000,0.000000
North Hollywood,2025-04-02,1,4,2,0,9.218000,6.697927,76.860153,9.473541,21.959999,21.000000,0.100000,0.100000
North Hollywood,2025-04-02,2,4,2,0,8.418000,6.314747,83.119049,7.138991,20.160000,25.000000,0.100000,0.100000
North Hollywood,2025-04-02,3,4,2,0,7.968000,5.596451,83.933228,8.528657,17.280001,18.000000,0.100000,0.100000
North Hollywood,2025-04-02,4,4,2,0,7.618000,4.740373,82.156693,11.052058,21.959999,17.000000,0.000000,0.000000
North Hollywood,2025-04-02,5,4,2,0,7.468000,4.936998,81.565376,8.320986,22.680000,9.000000,0.000000,0.000000
North Hollywood,2025-04-02,6,4,2,0,7.518000,5.352713,81.003883,5.743100,18.719999,10.000000,0.000000,0.000000
North Hollywood,2025-04-02,7,4,2,0,7.018000,4.740933,80.651489,5.751556,11.879999,45.000000,0.000000,0.000000
North Hollywood,2025-04-02,8,4,2,0,9.218000,6.124116,60.072388,8.748075,20.880001,11.000000,0.000000,0.000000
North Hollywood,2025-04-02,9,4,2,0,11.018001,7.506662,48.867775,10.234705,26.280001,10.000000,0.000000,0.000000
North Hollywood,2025-04-02,10,4,2,0,12.368000,7.957092,43.585281,16.021011,40.320000,27.000000,0.000000,0.000000
North Hollywood,2025-04-02,11,4,2,0,13.818001,9.814047,38.376041,16.434305,42.480000,11.000000,0.000000,0.000000
North Hollywood,2025-04-02,12,4,2,0,15.468000,11.927658,32.906609,19.161337,48.959999,8.000000,0.000000,0.000000
North Hollywood,2025-04-02,13,4,2,0,16.768000,13.612997,29.631466,17.827271,49.320000,8.000000,0.000000,0.000000
North Hollywood,2025-04-02,14,4,2,0,18.168001,15.664150,26.053028,14.584443,46.439999,10.000000,0.000000,0.000000
North Hollywood,2025-04-02,15,4,2,0,18.518000,15.840580,25.394026,12.534257,40.680000,9.000000,0.000000,0.000000
North Hollywood,2025-04-02,16,4,2,0,18.618000,15.438921,25.703295,9.734987,35.639999,24.000000,0.000000,0.000000
North Hollywood,2025-04-02,17,4,2,0,18.318001,14.721577,26.871246,8.987391,29.160000,21.000000,0.000000,0.000000
North Hollywood,2025-04-02,18,4,2,0,16.818001,13.555759,35.147209,9.255571,30.599998,38.000000,0.000000,0.000000
North Hollywood,2025-04-02,19,4,2,0,15.618000,12.863605,38.764957,6.122647,25.919998,34.000000,0.000000,0.000000
North Hollywood,2025-04-02,20,4,2,0,14.668000,11.566372,34.643597,5.896202,14.400000,8.000000,0.000000,0.000000
North Hollywood,2025-04-02,21,4,2,0,13.468000,9.168344,32.200161,12.182955,27.719999,0.000000,0.000000,0.000000
North Hollywood,2025-04-02,22,4,2,0,12.218000,7.663312,37.764179,14.887859,33.480000,0.000000,0.000000,0.000000
North Hollywood,2025-04-02,23,4,2,0,11.718000,7.754203,41.387451,11.609651,33.480000,17.000000,0.000000,0.000000
North Hollywood,2025-04-03,0,4,3,0,10.768001,8.645915,49.865589,0.763675,25.559999,27.000000,0.000000,0.000000
North Hollywood,2025-04-03,1,4,3,0,10.068001,7.807868,48.954124,0.742159,3.240000,1.000000,0.000000,0.000000
North Hollywood,2025-04-03,2,4,3,0,8.918000,6.436858,51.744259,1.946998,4.680000,0.000000,0.000000,0.000000
North Hollywood,2025-04-03,3,4,3,0,8.018001,5.309044,54.796074,3.457687,7.559999,0.000000,0.000000,0.000000
North Hollywood,2025-04-03,4,4,3,0,7.818000,5.050204,57.393883,4.327494,9.720000,0.000000,0.000000,0.000000
North Hollywood,2025-04-03,5,4,3,0,7.518000,4.761786,63.881927,5.559640,11.879999,0.000000,0.000000,0.000000
North Hollywood,2025-04-03,6,4,3,0,8.368000,6.224319,75.128258,5.247857,12.959999,8.000000,0.000000,0.000000
North Hollywood,2025-04-03,7,4,3,0,8.218000,6.361893,79.978600,4.334974,11.879999,40.000000,0.000000,0.000000
North Hollywood,2025-04-03,8,4,3,0,9.968000,8.155159,74.881935,5.148126,14.759999,46.000000,0.000000,0.000000
North Hollywood,2025-04-03,9,4,3,0,11.618000,10.069489,66.870163,3.259938,15.480000,43.000000,0.000000,0.000000
North Hollywood,2025-04-03,10,4,3,0,13.468000,11.792490,56.028271,2.952219,17.280001,7.000000,0.000000,0.000000
North Hollywood,2025-04-03,11,4,3,0,15.118000,14.031963,46.296970,3.148714,18.719999,1.000000,0.000000,0.000000
North Hollywood,2025-04-03,12,4,3,0,16.518000,15.648939,37.932251,3.572898,21.959999,2.000000,0.000000,0.000000
North Hollywood,2025-04-03,13,4,3,0,17.968000,16.977757,30.967731,4.755544,22.680000,2.000000,0.000000,0.000000
North Hollywood,2025-04-03,14,4,3,0,19.068001,17.939724,26.304266,4.802999,23.400000,7.000000,0.000000,0.000000
North Hollywood,2025-04-03,15,4,3,0,18.468000,15.406773,31.111687,12.678185,36.000000,30.000000,0.000000,0.000000
North Hollywood,2025-04-03,16,4,3,0,16.568001,13.075779,40.737091,13.797913,41.760002,35.000000,0.800000,0.800000
