date,temperature_c_mean,rain_sum,wind_speed_ms_max,precipitation_sum,region,month,weekday,weekend_flag,missing_weather_flag
2024-09-23,18.531000,0.000000,23.990698,0.000000,Westside,9,0,0,0
2024-09-24,18.518499,0.000000,24.315327,0.000000,Westside,9,1,0,0
2024-09-25,17.801832,0.000000,24.152887,0.000000,Westside,9,2,0,0
2024-09-26,17.072666,0.000000,21.794127,0.000000,Westside,9,3,0,0
2024-09-27,16.833084,0.000000,19.005989,0.000000,Westside,9,4,0,0
2024-09-28,16.849751,0.000000,21.422270,0.000000,Westside,9,5,1,0
2024-09-29,16.966417,0.000000,19.983242,0.000000,Westside,9,6,1,0
2024-09-30,18.445585,0.000000,19.469975,0.000000,Westside,9,0,0,0
2024-10-01,19.049753,0.000000,22.218884,0.000000,Westside,10,1,0,0
2024-10-02,19.572668,0.000000,15.844089,0.000000,Westside,10,2,0,0
2024-10-03,21.026833,0.000000,12.996199,0.000000,Westside,10,3,0,0
2024-10-04,19.893499,0.000000,17.258425,0.000000,Westside,10,4,0,0
2024-10-05,19.153915,0.000000,19.922350,0.000000,Westside,10,5,1,0
2024-10-06,19.174753,0.000000,19.787722,0.000000,Westside,10,6,1,0
2024-10-07,19.112249,0.000000,15.626860,0.000000,Westside,10,0,0,0
2024-10-08,18.353918,0.000000,16.357237,0.000000,Westside,10,1,0,0
2024-10-09,17.895582,0.000000,19.486609,0.000000,Westside,10,2,0,0
2024-10-10,18.372671,0.000000,16.119801,0.000000,Westside,10,3,0,0
2024-10-11,18.991417,0.000000,16.521803,0.000000,Westside,10,4,0,0
2024-10-12,17.581001,0.000000,16.793140,0.000000,Westside,10,5,1,0
2024-10-13,17.124750,0.000000,19.267569,0.000000,Westside,10,6,1,0
2024-10-14,17.901833,0.000000,17.437717,0.000000,Westside,10,0,0,0
2024-10-15,17.660166,0.000000,19.454161,0.000000,Westside,10,1,0,0
2024-10-16,17.781000,0.000000,21.426807,0.000000,Westside,10,2,0,0
2024-10-17,17.958084,0.200000,17.892578,0.200000,Westside,10,3,0,0
2024-10-18,20.110165,0.000000,24.967497,0.000000,Westside,10,4,0,0
2024-10-19,17.741419,0.000000,18.040453,0.000000,Westside,10,5,1,0
2024-10-20,18.993502,0.000000,20.288164,0.000000,Westside,10,6,1,0
2024-10-21,19.830999,0.000000,19.930477,0.000000,Westside,10,0,0,0
2024-10-22,19.885168,0.000000,17.823637,0.000000,Westside,10,1,0,0
2024-10-23,19.226831,0.000000,13.661038,0.000000,Westside,10,2,0,0
2024-10-24,18.062250,0.000000,14.347028,0.000000,Westside,10,3,0,0
2024-10-25,16.514334,0.000000,15.459054,0.000000,Westside,10,4,0,0
2024-10-26,16.912249,0.000000,13.049689,0.000000,Westside,10,5,1,0
2024-10-27,17.624748,0.000000,13.615902,0.000000,Westside,10,6,1,0
2024-10-28,17.926834,0.000000,32.971455,0.000000,Westside,10,0,0,0
2024-10-29,15.768498,0.000000,27.488186,0.000000,Westside,10,1,0,0
2024-10-30,15.637250,0.000000,16.530626,0.000000,Westside,10,2,0,0
2024-10-31,14.322666,0.000000,18.138071,0.000000,Westside,10,3,0,0
2024-11-01,14.249751,0.000000,20.964397,0.000000,Westside,11,4,0,0
2024-11-02,14.743501,0.500000,19.765606,0.500000,Westside,11,5,1,0
2024-11-03,17.243502,0.000000,35.864742,0.000000,Westside,11,6,1,0
2024-11-04,16.330999,0.000000,26.604097,0.000000,Westside,11,0,0,0
2024-11-05,15.083084,0.000000,14.148046,0.000000,Westside,11,1,0,0
2024-11-06,16.945581,0.000000,12.097553,0.000000,Westside,11,2,0,0
2024-11-07,14.993501,0.000000,21.252962,0.000000,Westside,11,3,0,0
2024-11-08,14.453918,0.000000,16.412603,0.000000,Westside,11,4,0,0
2024-11-09,15.230999,0.000000,13.432632,0.000000,Westside,11,5,1,0
2024-11-10,14.856000,0.000000,15.294703,0.000000,Westside,11,6,1,0
2024-11-11,13.174750,0.000000,16.981165,0.000000,Westside,11,0,0,0
2024-11-12,15.533084,0.000000,32.516289,0.000000,Westside,11,1,0,0
2024-11-13,16.108084,0.000000,9.904906,0.000000,Westside,11,2,0,0
2024-11-14,14.503915,0.000000,9.473541,0.000000,Westside,11,3,0,0
2024-11-15,13.691419,0.300000,21.103033,0.300000,Westside,11,4,0,0
2024-11-16,13.618500,0.000000,17.777222,0.000000,Westside,11,5,1,0
2024-11-17,13.226833,0.000000,15.385525,0.000000,Westside,11,6,1,0
2024-11-18,12.885166,0.000000,20.750027,0.000000,Westside,11,0,0,0
2024-11-19,13.524751,0.000000,19.983242,0.000000,Westside,11,1,0,0
2024-11-20,13.545585,0.000000,8.211235,0.000000,Westside,11,2,0,0
2024-11-21,13.672668,0.000000,8.375320,0.000000,Westside,11,3,0,0
2024-11-22,12.885166,0.000000,7.240386,0.000000,Westside,11,4,0,0
2024-11-23,11.530998,2.000000,7.386582,2.000000,Westside,11,5,1,0
2024-11-24,13.558084,1.200000,9.979860,1.200000,Westside,11,6,1,0
2024-11-25,14.131000,0.000000,7.538541,0.000000,Westside,11,0,0,0
2024-11-26,15.010167,0.900000,4.349896,0.900000,Westside,11,1,0,0
2024-11-27,15.472667,0.000000,10.711135,0.000000,Westside,11,2,0,0
2024-11-28,15.655999,0.000000,12.193588,0.000000,Westside,11,3,0,0
2024-11-29,15.403915,0.000000,11.098865,0.000000,Westside,11,4,0,0
2024-11-30,15.728916,0.000000,11.157097,0.000000,Westside,11,5,1,0
2024-12-01,14.970582,0.000000,9.266068,0.000000,Westside,12,6,1,0
2024-12-02,13.089334,0.000000,7.858397,0.000000,Westside,12,0,0,0
2024-12-03,13.424751,0.000000,8.149847,0.000000,Westside,12,1,0,0
2024-12-04,12.797665,0.000000,8.436990,0.000000,Westside,12,2,0,0
2024-12-05,12.001835,0.000000,8.482947,0.000000,Westside,12,3,0,0
2024-12-06,13.785167,0.000000,9.080639,0.000000,Westside,12,4,0,0
2024-12-07,16.193502,0.000000,10.362123,0.000000,Westside,12,5,1,0
2024-12-08,13.730999,0.000000,10.145679,0.000000,Westside,12,6,1,0
2024-12-09,12.376832,0.000000,9.227524,0.000000,Westside,12,0,0,0
2024-12-10,13.089334,0.000000,11.481968,0.000000,Westside,12,1,0,0
2024-12-11,13.453916,0.000000,12.241323,0.000000,Westside,12,2,0,0
2024-12-12,10.481001,0.000000,9.366920,0.000000,Westside,12,3,0,0
2024-12-13,11.543499,0.000000,8.528657,0.000000,Westside,12,4,0,0
2024-12-14,12.178916,0.000000,7.594207,0.000000,Westside,12,5,1,0
2024-12-15,11.585166,0.000000,11.792404,0.000000,Westside,12,6,1,0
2024-12-16,11.768501,0.000000,7.773417,0.000000,Westside,12,0,0,0
2024-12-17,14.270584,0.000000,11.203464,0.000000,Westside,12,1,0,0
