region,date,hour,month,weekday,weekend_flag,temperature_c,apparent_temperature,rel_humidity,wind_speed_ms,wind_gust_ms,cloud_cover,precipitation,rain
Westside,2024-07-01,1,7,0,0,18.100000,18.886284,87.828087,8.891344,12.599999,0.000000,0.000000,0.000000
Westside,2024-07-01,2,7,0,0,17.500000,18.089243,90.051773,9.693296,13.679999,0.000000,0.000000,0.000000
Westside,2024-07-01,3,7,0,0,16.750000,17.013491,93.228844,11.384198,15.840000,3.000000,0.000000,0.000000
Westside,2024-07-01,4,7,0,0,16.150000,16.422918,97.477890,11.592894,16.559999,33.000000,0.000000,0.000000
Westside,2024-07-01,5,7,0,0,15.800000,16.090624,99.044983,11.200571,16.919998,96.000000,0.000000,0.000000
Westside,2024-07-01,6,7,0,0,16.200001,16.572958,98.732353,11.592895,20.880001,100.000000,0.000000,0.000000
Westside,2024-07-01,7,7,0,0,16.299999,17.142431,98.105301,8.373386,18.359999,100.000000,0.000000,0.000000
Westside,2024-07-01,8,7,0,0,17.549999,18.439514,90.055397,7.771331,16.559999,59.000000,0.000000,0.000000
Westside,2024-07-01,9,7,0,0,20.200001,21.306938,75.592529,5.860375,17.280001,28.000000,0.000000,0.000000
Westside,2024-07-01,10,7,0,0,22.950001,24.527834,63.074589,5.154416,16.559999,6.000000,0.000000,0.000000
Westside,2024-07-01,11,7,0,0,24.650000,26.469555,58.418346,10.990322,24.119999,8.000000,0.000000,0.000000
Westside,2024-07-01,12,7,0,0,25.100000,26.903969,59.274605,16.291740,31.680000,17.000000,0.000000,0.000000
Westside,2024-07-01,13,7,0,0,24.700001,26.403416,61.482117,19.083395,36.360001,26.000000,0.000000,0.000000
Westside,2024-07-01,14,7,0,0,24.200001,25.343801,58.873699,19.513195,37.079998,25.000000,0.000000,0.000000
Westside,2024-07-01,15,7,0,0,23.799999,24.525625,56.552204,18.218275,37.079998,28.000000,0.000000,0.000000
Westside,2024-07-01,16,7,0,0,23.000000,22.834181,56.905975,18.089775,35.279999,21.000000,0.000000,0.000000
Westside,2024-07-01,17,7,0,0,22.049999,20.958340,58.549694,17.577440,34.200001,23.000000,0.000000,0.000000
Westside,2024-07-01,18,7,0,0,19.850000,18.987413,68.125519,14.336861,30.960001,38.000000,0.000000,0.000000
Westside,2024-07-01,19,7,0,0,18.600000,18.424065,78.056747,11.885453,27.359999,55.000000,0.000000,0.000000
Westside,2024-07-01,20,7,0,0,17.500000,18.440800,89.764412,7.145796,22.680000,59.000000,0.000000,0.000000
Westside,2024-07-01,21,7,0,0,17.600000,19.320786,91.506996,2.902413,14.759999,60.000000,0.000000,0.000000
Westside,2024-07-01,22,7,0,0,17.850000,19.544765,90.364624,3.219938,8.280000,13.000000,0.000000,0.000000
Westside,2024-07-01,23,7,0,0,17.900000,19.592291,89.794228,3.096837,6.840000,6.000000,0.000000,0.000000
Westside,2024-07-02,0,7,1,0,17.750000,19.170843,90.069916,4.680000,6.120000,3.000000,0.000000,0.000000
Westside,2024-07-02,1,7,1,0,17.500000,18.566929,90.918716,6.830519,9.000000,2.000000,0.000000,0.000000
Westside,2024-07-02,2,7,1,0,17.049999,18.017014,93.542145,7.517021,10.080000,3.000000,0.000000,0.000000
Westside,2024-07-02,3,7,1,0,16.549999,17.368858,96.557076,8.534353,11.879999,17.000000,0.000000,0.000000
Westside,2024-07-02,4,7,1,0,16.350000,17.084915,98.419464,9.387651,13.679999,94.000000,0.000000,0.000000
Westside,2024-07-02,5,7,1,0,16.500000,17.024609,95.634712,10.002560,15.480000,100.000000,0.000000,0.000000
Westside,2024-07-02,6,7,1,0,17.250000,17.977406,90.902023,8.473393,16.559999,48.000000,0.000000,0.000000
Westside,2024-07-02,7,7,1,0,17.450001,18.233431,87.209610,6.877790,14.400000,97.000000,0.000000,0.000000
Westside,2024-07-02,8,7,1,0,18.049999,18.989056,83.170395,5.411986,13.320000,34.000000,0.000000,0.000000
Westside,2024-07-02,9,7,1,0,19.450001,20.526239,75.957436,4.334974,13.679999,28.000000,0.000000,0.000000
Westside,2024-07-02,10,7,1,0,21.700001,23.292324,66.760803,2.902413,14.400000,27.000000,0.000000,0.000000
Westside,2024-07-02,11,7,1,0,23.850000,25.852722,58.414272,8.049845,20.160000,2.000000,0.000000,0.000000
Westside,2024-07-02,12,7,1,0,24.549999,26.285641,58.768745,15.530151,29.879999,18.000000,0.000000,0.000000
Westside,2024-07-02,13,7,1,0,23.900000,25.111786,61.496067,20.592503,38.160000,39.000000,0.000000,0.000000
Westside,2024-07-02,14,7,1,0,23.299999,24.057318,60.967052,21.434364,39.239998,57.000000,0.000000,0.000000
Westside,2024-07-02,15,7,1,0,22.750000,22.873131,62.225971,23.023117,41.399998,44.000000,0.000000,0.000000
Westside,2024-07-02,16,7,1,0,22.500000,22.006817,63.993885,23.828083,41.760002,32.000000,0.000000,0.000000
Westside,2024-07-02,17,7,1,0,21.650000,20.794607,67.180466,21.068459,41.399998,46.000000,0.000000,0.000000
Westside,2024-07-02,18,7,1,0,21.200001,20.845104,72.453186,16.704155,32.039997,40.000000,0.000000,0.000000
Westside,2024-07-02,19,7,1,0,18.500000,18.151680,86.751427,17.227421,30.960001,45.000000,0.000000,0.000000
Westside,2024-07-02,20,7,1,0,17.600000,17.883450,91.506996,12.758432,29.160000,53.000000,0.000000,0.000000
Westside,2024-07-02,21,7,1,0,17.350000,18.293375,93.854881,8.654986,21.599998,61.000000,0.000000,0.000000
Westside,2024-07-02,22,7,1,0,17.450001,19.096210,93.561310,3.976330,15.480000,61.000000,0.000000,0.000000
Westside,2024-07-02,23,7,1,0,17.500000,19.550936,93.861748,1.484318,8.280000,62.000000,0.000000,0.000000
Westside,2024-07-03,0,7,2,0,17.350000,19.098717,94.454079,3.415260,4.680000,59.000000,0.000000,0.000000
Westside,2024-07-03,1,7,2,0,16.950001,18.372292,95.649498,5.091168,6.480000,50.000000,0.000000,0.000000
Westside,2024-07-03,2,7,2,0,16.500000,17.899134,97.174095,4.693825,6.480000,26.000000,0.000000,0.000000
Westside,2024-07-03,3,7,2,0,15.900000,17.155792,98.414009,4.582052,5.760000,35.000000,0.000000,0.000000
Westside,2024-07-03,4,7,2,0,15.800000,16.704676,99.044983,6.989935,9.000000,62.000000,0.000000,0.000000
Westside,2024-07-03,5,7,2,0,15.650000,16.420992,99.361702,7.636753,10.080000,100.000000,0.000000,0.000000
Westside,2024-07-03,6,7,2,0,16.299999,18.097841,98.733337,2.099143,7.920000,100.000000,0.000000,0.000000
Westside,2024-07-03,7,7,2,0,16.650000,18.238308,96.252136,3.396233,9.360000,100.000000,0.000000,0.000000
Westside,2024-07-03,8,7,2,0,17.850000,19.238335,88.369118,4.349896,11.879999,53.000000,0.000000,0.000000
Westside,2024-07-03,9,7,2,0,20.100000,20.960712,77.533272,8.373386,18.000000,72.000000,0.000000,0.000000
Westside,2024-07-03,10,7,2,0,21.150000,21.580740,72.908066,13.479583,26.639999,64.000000,0.000000,0.000000
Westside,2024-07-03,11,7,2,0,21.799999,22.450550,67.211105,15.696165,30.599998,68.000000,0.000000,0.000000
Westside,2024-07-03,12,7,2,0,22.000000,22.765747,65.339081,18.171976,34.560001,76.000000,0.000000,0.000000
Westside,2024-07-03,13,7,2,0,22.049999,22.673790,65.349731,21.261345,38.880001,85.000000,0.000000,0.000000
Westside,2024-07-03,14,7,2,0,22.100000,22.258465,63.701134,22.705700,40.680000,80.000000,0.000000,0.000000
Westside,2024-07-03,15,7,2,0,21.650000,21.338995,65.264603,23.667091,42.119999,84.000000,0.000000,0.000000
Westside,2024-07-03,16,7,2,0,20.750000,19.800610,69.414948,24.472057,42.480000,88.000000,0.000000,0.000000
Westside,2024-07-03,17,7,2,0,19.650000,18.018227,75.019547,24.023088,42.480000,88.000000,0.000000,0.000000
Westside,2024-07-03,18,7,2,0,19.200001,18.050570,79.663368,20.929594,37.799999,92.000000,0.000000,0.000000
Westside,2024-07-03,19,7,2,0,18.100000,17.730751,86.713470,16.263872,36.000000,76.000000,0.000000,0.000000
Westside,2024-07-03,20,7,2,0,17.200001,17.675354,93.549324,11.304229,28.080000,87.000000,0.000000,0.000000
Westside,2024-07-03,21,7,2,0,17.049999,17.876217,95.045517,9.178235,19.799999,100.000000,0.000000,0.000000
Westside,2024-07-03,22,7,2,0,17.600000,18.576283,92.091873,8.287822,16.199999,93.000000,0.000000,0.000000
Westside,2024-07-03,23,7,2,0,18.200001,19.159340,87.278336,7.704336,14.040000,96.000000,0.000000,0.000000
Westside,2024-07-04,0,7,3,0,18.299999,19.690218,85.631744,4.198285,12.959999,74.000000,0.000000,0.000000
Westside,2024-07-04,1,7,3,0,18.150000,19.712866,85.890701,2.741678,8.280000,60.000000,0.000000,0.000000
Westside,2024-07-04,2,7,3,0,17.850000,19.675602,87.246330,0.804985,6.120000,36.000000,0.000000,0.000000
Westside,2024-07-04,3,7,3,0,17.650000,19.358301,88.352310,1.609969,3.960000,21.000000,0.000000,0.000000
Westside,2024-07-04,4,7,3,0,17.250000,18.800079,91.193138,2.968636,5.400000,39.000000,0.000000,0.000000
Westside,2024-07-04,5,7,3,0,17.000000,18.445576,93.241432,3.960000,7.200000,91.000000,0.000000,0.000000
Westside,2024-07-04,6,7,3,0,17.150000,19.044088,93.248978,1.297998,5.760000,64.000000,0.000000,0.000000
Westside,2024-07-04,7,7,3,0,17.700001,19.675167,90.642624,1.018234,6.120000,46.000000,0.000000,0.000000
Westside,2024-07-04,8,7,3,0,19.100000,20.931648,83.559532,2.276840,9.720000,50.000000,0.000000,0.000000
Westside,2024-07-04,9,7,3,0,20.799999,21.974195,75.930779,7.200000,16.919998,33.000000,0.000000,0.000000
Westside,2024-07-04,10,7,3,0,21.700001,22.317814,72.082405,12.261157,25.199999,33.000000,0.000000,0.000000
Westside,2024-07-04,11,7,3,0,22.100000,22.972176,69.233192,15.815435,30.599998,65.000000,0.000000,0.000000
Westside,2024-07-04,12,7,3,0,22.750000,23.874342,65.498039,17.287498,33.119999,60.000000,0.000000,0.000000
Westside,2024-07-04,13,7,3,0,23.100000,24.092440,63.107815,19.671949,36.719997,69.000000,0.000000,0.000000
Westside,2024-07-04,14,7,3,0,22.600000,23.249762,64.427238,20.969807,39.239998,81.000000,0.000000,0.000000
Westside,2024-07-04,15,7,3,0,22.150000,22.218958,64.952744,21.300930,39.239998,83.000000,0.000000,0.000000
Westside,2024-07-04,16,7,3,0,21.350000,21.064091,67.552078,20.188908,39.239998,39.000000,0.000000,0.000000
Westside,2024-07-04,17,7,3,0,21.049999,20.378345,67.491142,17.673029,37.079998,29.000000,0.000000,0.000000
Westside,2024-07-04,18,7,3,0,20.150000,19.678465,72.965256,15.077082,31.319998,52.000000,0.000000,0.000000
Westside,2024-07-04,19,7,3,0,19.850000,20.069014,75.052620,10.739832,28.440001,20.000000,0.000000,0.000000
Westside,2024-07-04,20,7,3,0,19.250000,19.749374,78.404312,9.085988,20.880001,9.000000,0.000000,0.000000
Westside,2024-07-04,21,7,3,0,19.049999,19.753418,80.154510,8.089993,16.559999,8.000000,0.000000,0.000000
Westside,2024-07-04,22,7,3,0,19.049999,20.300280,80.669426,4.610250,14.040000,5.000000,0.000000,0.000000
Westside,2024-07-04,23,7,3,0,18.750000,20.484537,83.252747,1.835647,8.640000,3.000000,0.000000,0.000000
Westside,2024-07-05,0,7,4,0,18.549999,19.900208,84.031807,4.334974,6.480000,0.000000,0.000000,0.000000
Westside,2024-07-05,1,7,4,0,18.250000,19.223043,83.998016,6.109403,8.640000,0.000000,0.000000,0.000000
Westside,2024-07-05,2,7,4,0,17.799999,18.382620,83.947189,7.594208,10.799999,1.000000,0.000000,0.000000
Westside,2024-07-05,3,7,4,0,17.100000,17.387001,85.508400,8.587338,12.599999,0.000000,0.000000,0.000000
Westside,2024-07-05,4,7,4,0,16.500000,16.621798,87.403793,9.085988,12.959999,0.000000,0.000000,0.000000
Westside,2024-07-05,5,7,4,0,15.800000,15.993742,90.511116,8.217153,12.959999,0.000000,0.000000,0.000000
Westside,2024-07-05,6,7,4,0,15.700000,16.321846,95.608253,7.200000,14.400000,79.000000,0.000000,0.000000
Westside,2024-07-05,7,7,4,0,16.549999,17.594664,93.518005,5.623380,16.559999,99.000000,0.000000,0.000000
Westside,2024-07-05,8,7,4,0,17.250000,18.916796,91.485077,2.305125,13.679999,96.000000,0.000000,0.000000
Westside,2024-07-05,9,7,4,0,19.049999,20.453485,81.708000,4.104631,12.599999,44.000000,0.000000,0.000000
Westside,2024-07-05,10,7,4,0,21.750000,22.714373,66.343750,6.989936,19.080000,13.000000,0.000000,0.000000
Westside,2024-07-05,11,7,4,0,25.400000,27.166393,51.061424,7.172949,19.799999,11.000000,0.000000,0.000000
Westside,2024-07-05,12,7,4,0,26.299999,27.783680,50.156052,14.118243,28.440001,26.000000,0.000000,0.000000
Westside,2024-07-05,13,7,4,0,25.000000,26.338932,56.303337,18.204042,34.919998,62.000000,0.000000,0.000000
Westside,2024-07-05,14,7,4,0,24.049999,25.558037,61.726540,18.359999,36.000000,44.000000,0.000000,0.000000
Westside,2024-07-05,15,7,4,0,23.900000,25.231510,61.496067,17.388409,35.639999,34.000000,0.000000,0.000000
Westside,2024-07-05,16,7,4,0,23.900000,24.961824,59.561260,14.007655,33.839996,51.000000,0.000000,0.000000
Westside,2024-07-05,17,7,4,0,23.750000,24.171860,58.955753,12.074766,29.160000,21.000000,0.000000,0.000000
Westside,2024-07-05,18,7,4,0,22.549999,22.926546,66.722374,11.681987,27.719999,33.000000,0.000000,0.000000
Westside,2024-07-05,19,7,4,0,21.500000,22.188078,70.230644,9.000000,24.480000,17.000000,0.000000,0.000000
Westside,2024-07-05,20,7,4,0,20.600000,21.809641,73.749062,5.154416,19.080000,14.000000,0.000000,0.000000
Westside,2024-07-05,21,7,4,0,21.500000,22.812679,67.365814,2.968636,11.879999,2.000000,0.000000,0.000000
Westside,2024-07-05,22,7,4,0,22.700001,23.931511,64.037476,4.452954,8.280000,1.000000,0.000000,0.000000
Westside,2024-07-05,23,7,4,0,22.250000,23.346449,67.733971,6.608722,8.640000,0.000000,0.000000,0.000000
Westside,2024-07-06,0,7,5,1,21.250000,22.301733,76.243889,9.470120,14.040000,1.000000,0.000000,0.000000
Westside,2024-07-06,1,7,5,1,20.100000,21.755754,86.356270,7.862518,13.679999,5.000000,0.000000,0.000000
Westside,2024-07-06,2,7,5,1,19.000000,20.623030,91.882973,7.787991,11.159999,4.000000,0.000000,0.000000
Westside,2024-07-06,3,7,5,1,18.350000,19.652699,93.308846,8.788720,11.879999,41.000000,0.000000,0.000000
Westside,2024-07-06,4,7,5,1,18.000000,19.177452,93.884544,8.913181,14.400000,75.000000,0.000000,0.000000
Westside,2024-07-06,5,7,5,1,18.049999,19.433287,95.685341,8.534353,15.840000,100.000000,0.000000,0.000000
Westside,2024-07-06,6,7,5,1,17.950001,19.608541,99.685966,8.311245,18.359999,100.000000,0.000000,0.000000
Westside,2024-07-06,7,7,5,1,18.900000,20.430073,96.617592,10.587917,17.639999,100.000000,0.000000,0.000000
Westside,2024-07-06,8,7,5,1,20.400000,21.880726,86.657051,10.137692,18.359999,100.000000,0.000000,0.000000
Westside,2024-07-06,9,7,5,1,21.650000,23.240929,80.000114,9.220499,18.719999,100.000000,0.000000,0.000000
Westside,2024-07-06,10,7,5,1,23.350000,24.979921,71.923943,8.788720,20.519999,84.000000,0.000000,0.000000
Westside,2024-07-06,11,7,5,1,25.600000,28.149693,62.663956,8.473393,22.680000,12.000000,0.000000,0.000000
Westside,2024-07-06,12,7,5,1,27.000000,30.194321,57.692001,11.384199,25.919998,3.000000,0.000000,0.000000
Westside,2024-07-06,13,7,5,1,27.100000,29.813683,57.715885,16.199999,31.680000,8.000000,0.000000,0.000000
Westside,2024-07-06,14,7,5,1,26.350000,28.585663,59.193165,18.075441,34.919998,13.000000,0.000000,0.000000
Westside,2024-07-06,15,7,5,1,25.650000,27.464464,60.540672,18.075441,35.279999,40.000000,0.000000,0.000000
Westside,2024-07-06,16,7,5,1,24.850000,25.995569,62.893913,17.884428,34.919998,31.000000,0.000000,0.000000
Westside,2024-07-06,17,7,5,1,23.750000,24.400448,68.464569,16.873980,34.560001,72.000000,0.000000,0.000000
Westside,2024-07-06,18,7,5,1,22.900000,23.636156,71.616608,13.397612,30.960001,63.000000,0.000000,0.000000
Westside,2024-07-06,19,7,5,1,21.900000,23.120375,76.587288,10.383987,26.280001,57.000000,0.000000,0.000000
Westside,2024-07-06,20,7,5,1,20.600000,22.144144,83.467598,8.473393,20.880001,35.000000,0.000000,0.000000
Westside,2024-07-06,21,7,5,1,20.049999,21.956268,86.897018,6.297428,16.559999,39.000000,0.000000,0.000000
Westside,2024-07-06,22,7,5,1,19.900000,22.179049,89.097984,4.510787,12.599999,53.000000,0.000000,0.000000
Westside,2024-07-06,23,7,5,1,19.500000,22.029758,92.201645,3.259938,9.720000,67.000000,0.000000,0.000000
Westside,2024-07-07,0,7,6,1,19.500000,21.404732,91.050560,6.924738,10.440001,51.000000,0.000000,0.000000
Westside,2024-07-07,1,7,6,1,19.549999,20.661764,87.125153,10.390226,15.119999,0.000000,0.000000,0.000000
Westside,2024-07-07,2,7,6,1,19.250000,20.348940,88.206749,10.182337,15.119999,0.000000,0.000000,0.000000
Westside,2024-07-07,3,7,6,1,18.700001,20.045824,91.575310,8.640000,14.759999,0.000000,0.000000,0.000000
Westside,2024-07-07,4,7,6,1,18.400000,19.889679,93.902695,7.952660,12.599999,1.000000,0.000000,0.000000
Westside,2024-07-07,5,7,6,1,18.150000,19.544018,95.688568,8.759178,12.240000,36.000000,0.000000,0.000000
Westside,2024-07-07,6,7,6,1,18.200001,19.394907,97.516823,11.183201,18.359999,100.000000,0.000000,0.000000
Westside,2024-07-07,7,7,6,1,18.549999,19.652716,95.701485,11.966953,19.440001,100.000000,0.000000,0.000000
Westside,2024-07-07,8,7,6,1,19.450001,20.602310,89.343742,11.013882,20.519999,100.000000,0.000000,0.000000
Westside,2024-07-07,9,7,6,1,21.150000,22.231688,78.184326,10.144082,20.880001,48.000000,0.000000,0.000000
Westside,2024-07-07,10,7,6,1,23.250000,24.339674,67.505302,9.199390,21.959999,51.000000,0.000000,0.000000
Westside,2024-07-07,11,7,6,1,24.450001,26.568041,63.004780,10.446206,24.480000,31.000000,0.000000,0.000000
Westside,2024-07-07,12,7,6,1,25.150000,27.548054,61.584023,14.021525,28.080000,26.000000,0.000000,0.000000
Westside,2024-07-07,13,7,6,1,24.900000,27.021301,62.508671,17.581125,34.200001,19.000000,0.000000,0.000000
Westside,2024-07-07,14,7,6,1,24.500000,26.424355,62.617725,17.935081,35.279999,55.000000,0.000000,0.000000
Westside,2024-07-07,15,7,6,1,23.850000,25.221590,64.082954,18.671474,36.000000,59.000000,0.000000,0.000000
Westside,2024-07-07,16,7,6,1,22.950001,23.689566,67.017372,18.584511,36.360001,67.000000,0.000000,0.000000
Westside,2024-07-07,17,7,6,1,21.750000,21.649464,73.245537,19.164717,34.919998,48.000000,0.000000,0.000000
Westside,2024-07-07,18,7,6,1,20.450001,20.697063,80.343918,15.137133,31.319998,39.000000,0.000000,0.000000
Westside,2024-07-07,19,7,6,1,19.650000,20.080681,81.524033,12.303366,28.440001,47.000000,0.000000,0.000000
Westside,2024-07-07,20,7,6,1,18.450001,19.260445,87.301132,9.422101,23.039999,45.000000,0.000000,0.000000
Westside,2024-07-07,21,7,6,1,18.100000,19.197712,89.523689,7.594207,17.639999,39.000000,0.000000,0.000000
Westside,2024-07-07,22,7,6,1,18.150000,19.504314,91.251175,6.830519,14.400000,86.000000,0.000000,0.000000
Westside,2024-07-07,23,7,6,1,18.049999,19.709724,95.383492,6.489992,13.320000,98.000000,0.000000,0.000000
Westside,2024-07-08,0,7,0,0,17.900000,19.782711,98.128258,5.860375,11.879999,100.000000,0.000000,0.000000
Westside,2024-07-08,1,7,0,0,17.900000,19.994818,97.511215,4.104631,10.799999,100.000000,0.000000,0.000000
Westside,2024-07-08,2,7,0,0,18.000000,20.030634,96.594589,4.394360,8.280000,100.000000,0.000000,0.000000
Westside,2024-07-08,3,7,0,0,17.950001,19.987438,96.593285,4.198285,8.280000,100.000000,0.000000,0.000000
