region,date,hour,month,weekday,weekend_flag,temperature_c,apparent_temperature,rel_humidity,wind_speed_ms,wind_gust_ms,cloud_cover,precipitation,rain
Westside,2024-07-01,1,7,0,0,18.418501,19.334490,87.855965,8.891344,12.599999,0.000000,0.000000,0.000000
Westside,2024-07-01,2,7,0,0,17.818501,18.536018,90.074867,9.693296,13.679999,0.000000,0.000000,0.000000
Westside,2024-07-01,3,7,0,0,17.068501,17.458857,93.244881,11.384198,15.840000,3.000000,0.000000,0.000000
Westside,2024-07-01,4,7,0,0,16.468500,16.869015,97.483986,11.592894,16.559999,33.000000,0.000000,0.000000
Westside,2024-07-01,5,7,0,0,16.118500,16.536015,99.047333,11.200571,16.919998,96.000000,0.000000,0.000000
Westside,2024-07-01,6,7,0,0,16.518501,17.020857,98.735443,11.592895,20.880001,100.000000,0.000000,0.000000
Westside,2024-07-01,7,7,0,0,16.618500,17.590324,98.109909,8.373386,18.359999,100.000000,0.000000,0.000000
Westside,2024-07-01,8,7,0,0,17.868500,18.886650,90.078506,7.771331,16.559999,59.000000,0.000000,0.000000
Westside,2024-07-01,9,7,0,0,20.518501,21.752914,75.644073,5.860375,17.280001,28.000000,0.000000,0.000000
Westside,2024-07-01,10,7,0,0,23.268501,24.972301,63.145107,5.154416,16.559999,6.000000,0.000000,0.000000
Westside,2024-07-01,11,7,0,0,24.968500,26.916826,58.494221,10.990322,24.119999,8.000000,0.000000,0.000000
Westside,2024-07-01,12,7,0,0,25.418501,27.355989,59.349373,16.291740,31.680000,17.000000,0.000000,0.000000
Westside,2024-07-01,13,7,0,0,25.018501,26.856945,61.554256,19.083395,36.360001,26.000000,0.000000,0.000000
Westside,2024-07-01,14,7,0,0,24.518501,25.788939,58.949188,19.513195,37.079998,25.000000,0.000000,0.000000
Westside,2024-07-01,15,7,0,0,24.118500,24.963829,56.630428,18.218275,37.079998,28.000000,0.000000,0.000000
Westside,2024-07-01,16,7,0,0,23.318501,23.268068,56.984047,18.089775,35.279999,21.000000,0.000000,0.000000
Westside,2024-07-01,17,7,0,0,22.368500,21.389328,58.626152,17.577440,34.200001,23.000000,0.000000,0.000000
Westside,2024-07-01,18,7,0,0,20.168501,19.420082,68.189545,14.336861,30.960001,38.000000,0.000000,0.000000
Westside,2024-07-01,19,7,0,0,18.918501,18.862761,78.104118,11.885453,27.359999,55.000000,0.000000,0.000000
Westside,2024-07-01,20,7,0,0,17.818501,18.887217,89.788132,7.145796,22.680000,59.000000,0.000000,0.000000
Westside,2024-07-01,21,7,0,0,17.918501,19.770098,91.526855,2.902413,14.759999,60.000000,0.000000,0.000000
Westside,2024-07-01,22,7,0,0,18.168501,19.994442,90.387032,3.219938,8.280000,13.000000,0.000000,0.000000
Westside,2024-07-01,23,7,0,0,18.218500,20.041592,89.817825,3.096837,6.840000,6.000000,0.000000,0.000000
Westside,2024-07-02,0,7,1,0,18.068501,19.619419,90.092934,4.680000,6.120000,3.000000,0.000000,0.000000
Westside,2024-07-02,1,7,1,0,17.818501,19.014790,90.939903,6.830519,9.000000,2.000000,0.000000,0.000000
Westside,2024-07-02,2,7,1,0,17.368500,18.464888,93.557434,7.517021,10.080000,3.000000,0.000000,0.000000
Westside,2024-07-02,3,7,1,0,16.868500,17.816746,96.565376,8.534353,11.879999,17.000000,0.000000,0.000000
Westside,2024-07-02,4,7,1,0,16.668501,17.533533,98.423294,9.387651,13.679999,94.000000,0.000000,0.000000
Westside,2024-07-02,5,7,1,0,16.818501,17.471054,95.645164,10.002560,15.480000,100.000000,0.000000,0.000000
Westside,2024-07-02,6,7,1,0,17.568501,18.423470,90.923264,8.473393,16.559999,48.000000,0.000000,0.000000
Westside,2024-07-02,7,7,1,0,17.768501,18.676302,87.238861,6.877790,14.400000,97.000000,0.000000,0.000000
Westside,2024-07-02,8,7,1,0,18.368500,19.430864,83.207939,5.411986,13.320000,34.000000,0.000000,0.000000
Westside,2024-07-02,9,7,1,0,19.768501,20.967659,76.008469,4.334974,13.679999,28.000000,0.000000,0.000000
Westside,2024-07-02,10,7,1,0,22.018501,23.734720,66.826431,2.902413,14.400000,27.000000,0.000000,0.000000
Westside,2024-07-02,11,7,1,0,24.168501,26.294703,58.490398,8.049845,20.160000,2.000000,0.000000,0.000000
Westside,2024-07-02,12,7,1,0,24.868500,26.732918,58.844246,15.530151,29.879999,18.000000,0.000000,0.000000
Westside,2024-07-02,13,7,1,0,24.218500,25.559807,61.568398,20.592503,38.160000,39.000000,0.000000,0.000000
Westside,2024-07-02,14,7,1,0,23.618500,24.500368,61.040230,21.434364,39.239998,57.000000,0.000000,0.000000
