region,date,hour,month,weekday,weekend_flag,temperature_c,apparent_temperature,rel_humidity,wind_speed_ms,wind_gust_ms,cloud_cover,precipitation,rain
Westside,2025-04-01,1,4,1,0,12.668500,10.528847,78.725075,13.009903,27.359999,100.000000,0.000000,0.000000
Westside,2025-04-01,2,4,1,0,12.218499,10.378152,83.857994,11.897714,26.639999,80.000000,0.000000,0.000000
Westside,2025-04-01,3,4,1,0,12.018499,9.993657,80.512276,11.672275,24.840000,19.000000,0.000000,0.000000
Westside,2025-04-01,4,4,1,0,11.818500,9.507534,75.455490,11.612441,23.400000,88.000000,0.000000,0.000000
Westside,2025-04-01,5,4,1,0,11.118500,9.139137,79.300369,9.423820,22.680000,63.000000,0.000000,0.000000
Westside,2025-04-01,6,4,1,0,10.118500,9.481036,88.889137,1.440000,3.240000,73.000000,0.000000,0.000000
Westside,2025-04-01,7,4,1,0,9.568500,8.675448,90.060135,2.577208,4.320000,82.000000,0.000000,0.000000
Westside,2025-04-01,8,4,1,0,11.268499,10.304355,83.182236,3.947708,10.440001,99.000000,0.000000,0.000000
Westside,2025-04-01,9,4,1,0,13.218499,11.879671,72.435707,6.248360,18.000000,51.000000,0.000000,0.000000
Westside,2025-04-01,10,4,1,0,15.218499,12.856274,52.165329,8.538150,23.759998,7.000000,0.000000,0.000000
Westside,2025-04-01,11,4,1,0,16.218500,14.512745,49.960129,10.080000,27.000000,80.000000,0.000000,0.000000
Westside,2025-04-01,12,4,1,0,16.318501,13.946613,53.551003,17.371632,43.199997,92.000000,0.100000,0.100000
Westside,2025-04-01,13,4,1,0,16.968500,14.203548,49.992195,22.621351,55.079998,100.000000,0.000000,0.000000
Westside,2025-04-01,14,4,1,0,16.218500,12.276077,53.708694,25.984917,61.920002,90.000000,0.000000,0.000000
Westside,2025-04-01,15,4,1,0,16.168501,12.447130,56.910446,27.079681,63.360001,97.000000,0.000000,0.000000
Westside,2025-04-01,16,4,1,0,15.218499,10.802770,61.306927,27.332157,65.879997,99.000000,0.000000,0.000000
Westside,2025-04-01,17,4,1,0,14.618500,10.513901,63.721180,24.251284,63.360001,100.000000,0.000000,0.000000
Westside,2025-04-01,18,4,1,0,14.168500,11.047118,67.868362,18.382044,50.399998,100.000000,0.000000,0.000000
Westside,2025-04-01,19,4,1,0,13.368500,10.531749,72.463295,16.787354,42.119999,86.000000,0.000000,0.000000
Westside,2025-04-01,20,4,1,0,12.818500,10.087281,73.601151,15.531195,36.360001,100.000000,0.000000,0.000000
Westside,2025-04-01,21,4,1,0,12.518499,10.168881,71.815155,11.792404,31.680000,100.000000,0.000000,0.000000
Westside,2025-04-01,22,4,1,0,12.118500,9.327804,70.521912,13.737904,27.719999,99.000000,0.000000,0.000000
Westside,2025-04-01,23,4,1,0,11.568500,9.043946,70.900734,11.190442,27.719999,99.000000,0.000000,0.000000
Westside,2025-04-02,0,4,2,0,10.918500,8.686179,73.512703,9.028754,21.599998,0.000000,0.000000,0.000000
Westside,2025-04-02,1,4,2,0,10.318500,8.355337,75.201424,6.792466,18.000000,0.000000,0.000000,0.000000
Westside,2025-04-02,2,4,2,0,9.918500,7.712983,75.654732,7.993297,15.119999,0.000000,0.000000,0.000000
Westside,2025-04-02,3,4,2,0,9.418500,7.095475,77.159393,8.496305,16.919998,0.000000,0.000000,0.000000
Westside,2025-04-02,4,4,2,0,9.018499,6.636320,77.902855,8.528657,17.280001,0.000000,0.000000,0.000000
